_original_index,comment_id,Topic,Name,Primary_Concern,Top_n_words,Probability
0,ICEB-2025-0001-0002,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,0.97283266596947
1,ICEB-2025-0001-0003,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
2,ICEB-2025-0001-0004,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
3,ICEB-2025-0001-0005,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
4,ICEB-2025-0001-0006,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
5,ICEB-2025-0001-0007,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
6,ICEB-2025-0001-0008,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
7,ICEB-2025-0001-0009,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
8,ICEB-2025-0001-0010,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
9,ICEB-2025-0001-0011,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
10,ICEB-2025-0001-0012,1,1_master_students_second_second master,Restrictions on second or same-level degrees,master - students - second - second master - degree - level - academic - dhs - not - same,0.5334142924812832
11,ICEB-2025-0001-0013,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
12,ICEB-2025-0001-0014,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
13,ICEB-2025-0001-0015,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
14,ICEB-2025-0001-0016,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
15,ICEB-2025-0001-0017,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
16,ICEB-2025-0001-0018,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
17,ICEB-2025-0001-0019,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
18,ICEB-2025-0001-0020,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
19,ICEB-2025-0001-0021,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
20,ICEB-2025-0001-0022,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
21,ICEB-2025-0001-0023,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
22,ICEB-2025-0001-0024,1,1_master_students_second_second master,Restrictions on second or same-level degrees,master - students - second - second master - degree - level - academic - dhs - not - same,0.7630401519678264
23,ICEB-2025-0001-0025,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
24,ICEB-2025-0001-0026,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
25,ICEB-2025-0001-0027,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
26,ICEB-2025-0001-0028,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
27,ICEB-2025-0001-0029,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
28,ICEB-2025-0001-0030,1,1_master_students_second_second master,Restrictions on second or same-level degrees,master - students - second - second master - degree - level - academic - dhs - not - same,0.816391967286677
29,ICEB-2025-0001-0031,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
30,ICEB-2025-0001-0032,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
31,ICEB-2025-0001-0033,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
32,ICEB-2025-0001-0034,1,1_master_students_second_second master,Restrictions on second or same-level degrees,master - students - second - second master - degree - level - academic - dhs - not - same,1.0
33,ICEB-2025-0001-0035,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
34,ICEB-2025-0001-0036,1,1_master_students_second_second master,Restrictions on second or same-level degrees,master - students - second - second master - degree - level - academic - dhs - not - same,0.6169665228625544
