term,mean_tfidf,document_count
students,0.07635429296393423,8580
international,0.048570226620825246,7155
international students,0.03729438326265136,6140
rule,0.03350170504853289,5517
not,0.02993943847531782,5496
research,0.029896551666772003,4734
academic,0.02805212697563094,4331
proposed,0.027545891596047204,5663
education,0.025569874339235153,4648
status,0.023994086011572862,4839
years,0.02319424747435159,3683
programs,0.02319296711810743,4502
dhs,0.023182502938900104,3830
these,0.02222214860619784,4621
visa,0.021834995100109132,3754
talent,0.021559395995574944,3785
student,0.02046680943903813,3771
time,0.02028882579806089,4028
policy,0.01985121857545639,3297
more,0.01979757825216627,4327
american,0.01973387062438897,2404
program,0.0195184855181558,3082
degree,0.018908576501753847,2844
many,0.018888369711574347,4191
fixed,0.01884487545730294,3492
phd,0.0186641144121981,1902
second,0.0186638556133143,2287
duration,0.018663837479821133,4632
global,0.01810975652442855,3337
period,0.017731579406358215,2739
economy,0.017276592669033284,3524
universities,0.01713061318303508,3189
states,0.0170235959713348,3265
proposed rule,0.01700870210774718,3623
united,0.016867354866684284,3159
master,0.016698952796117477,1678
proposal,0.01653919122624472,3442
system,0.016510163916507004,3334
innovation,0.016488014141743213,3255
graduate,0.01648042243494417,2923
united states,0.016443535362528777,3127
should,0.016382856259977374,2650
degrees,0.016271252314300464,2566
year,0.015906850681969235,2889
economic,0.01568536147168661,2557
duration status,0.01540845763610336,3686
already,0.015250547766489101,3005
work,0.015124484938864782,2786
but,0.015059645760678907,3069
america,0.01496435805850761,2166
higher,0.014792249343350232,2722
also,0.014759356626699974,2990
like,0.014566983165379606,2828
admission,0.014424283722078955,2510
security,0.014281990928302582,2506
level,0.01417992789010766,2343
long,0.013934465515022147,2759
while,0.013928490324678291,2761
study,0.013794935984080419,2714
changes,0.01376732728673467,2098
than,0.01373930770725236,2915
only,0.013678643519077651,2649
such,0.013624248152315326,2747
change,0.013563328861637181,2423
foreign,0.013406631467538479,1441
all,0.013318134308393537,2007
country,0.013232590342144515,1906
new,0.013158172848261596,2144
stay,0.013017334839313825,2304
extension,0.012896538615366859,2379
institutions,0.012895668832695141,2513
four,0.012867129160807967,2035
higher education,0.012829409364094982,2334
pursue,0.012819047323334484,2253
can,0.012722816248466625,1994
stem,0.012632179790834386,2094
oppose,0.01263141487927711,2698
current,0.012318379422551397,2564
often,0.012312256522741089,2830
could,0.012311278608729482,2149
urge,0.012293436258541192,3764
countries,0.0122441019311428,2405
science,0.012183673094251583,2334
strongly,0.012025461044974055,2399
make,0.012004690404383908,2143
scholars,0.011958698545898604,1257
immigration,0.011907005835349684,2058
