window,seendate,title,url,domain,language,sourcecountry,socialimage,found_by,is_repost,article_text,text_source,related_links,text_chars,mentions_docket
nprm_published_docket,20250827T211500Z,"US proposes fixed visa terms for students , exchange visitors and foreign media",http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media,bignewsnetwork.com,English,United States,https://image.chitra.live/api/v1/wps/fb0d735/6b11d876-ffd7-4440-9cb4-f0972458a946/0/ANI-20250827191243-600x315.jpg,nprm_published_docket,False,"US proposes fixed visa terms for students, exchange visitors and foreign media
Big News Network.com
US proposes fixed visa terms for students, exchange visitors and foreign media
By Reena Bhardwaj
Washington [US], August 28 (ANI): The US Department of Homeland Security (DHS) has proposed new regulations to replace the 'duration of status' framework with fixed admission periods for nonimmigrant academic students (F), exchange visitors (J), and representatives of foreign information media (I).
According to the notice of proposed rulemaking (NPRM) issued by the US Immigration and Customs Enforcement (ICE), the DHS aims to amend its regulations to ensure that F, J, and I nonimmigrants are admitted for a specific time period rather than indefinitely as long as they comply with the terms of their status.
The NPRM states that 'nonimmigrants who would like to stay in the United States beyond their fixed date of admission would need to apply directly to DHS for an extension of stay (EOS).'
The proposed changes come in response to concerns about oversight and national security. DHS highlighted that the current system, which allows admission for 'duration of status' without a fixed end date, 'does not afford immigration officers enough predetermined opportunities to directly verify that aliens are engaging only in authorised activities.'
The Department noted that the increase in admissions has posed challenges. In 2023 alone, more than 1.6 million F-1 students, over 500,000 J exchange visitors, and 32,470 I visa holders were admitted to the United States.
DHS further said the proposed framework would align F, J, and I visa holders with most other nonimmigrant classifications, which already operate under fixed admission periods. It added that 'greater oversight would deter fraud and abuse and strengthen the integrity of these nonimmigrant classifications.'
Key proposed changes include limiting admission and extension periods for F and J nonimmigrants to a maximum of four years, reducing the grace period for F-1 students after completion of studies from 60 to 30 days, restricting graduate-level F-1 students from changing programs mid-course, and setting a 240-day cap for I visa holders, except for certain cases involving the People's Republic of China.
DHS said the changes would allow immigration officers to 'periodically and directly assess whether nonimmigrants are complying with the conditions of their classifications and US immigration laws.'
Public comments on the proposed rule must be submitted by the deadline set in the Federal Register notice under Docket No. ICEB-2025-0001. (ANI)
US proposes fixed visa terms for students, exchange visitors and foreign media
US proposes fixed visa terms for students, exchange visitors and foreign media
ANI
28th August 2025, 06:57 GMT+11
By Reena Bhardwaj
Washington [US], August 28 (ANI): The US Department of Homeland Security (DHS) has proposed new regulations to replace the 'duration of status' framework with fixed admission periods for nonimmigrant academic students (F), exchange visitors (J), and representatives of foreign information media (I).
According to the notice of proposed rulemaking (NPRM) issued by the US Immigration and Customs Enforcement (ICE), the DHS aims to amend its regulations to ensure that F, J, and I nonimmigrants are admitted for a specific time period rather than indefinitely as long as they comply with the terms of their status.
The NPRM states that 'nonimmigrants who would like to stay in the United States beyond their fixed date of admission would need to apply directly to DHS for an extension of stay (EOS).'
The proposed changes come in response to concerns about oversight and national security. DHS highlighted that the current system, which allows admission for 'duration of status' without a fixed end date, 'does not afford immigration officers enough predetermined opportunities to directly verify that aliens are engaging only in authorised activities.'
The Department noted that the increase in admissions has posed challenges. In 2023 alone, more than 1.6 million F-1 students, over 500,000 J exchange visitors, and 32,470 I visa holders were admitted to the United States.
DHS further said the proposed framework would align F, J, and I visa holders with most other nonimmigrant classifications, which already operate under fixed admission periods. It added that 'greater oversight would deter fraud and abuse and strengthen the integrity of these nonimmigrant classifications.'
Key proposed changes include limiting admission and extension periods for F and J nonimmigrants to a maximum of four years, reducing the grace period for F-1 students after completion of studies from 60 to 30 days, restricting graduate-level F-1 students from changing programs mid-course, and setting a 240-day cap for I visa holders, except for certain cases involving the People's Republic of China.
DHS said the changes would allow immigration officers to 'periodically and directly assess whether nonimmigrants are complying with the conditions of their classifications and US immigration laws.'
Public comments on the proposed rule must be submitted by the deadline set in the Federal Register notice under Docket No. ICEB-2025-0001. (ANI)",direct,,5259.0,True
nprm_published_docket,20250827T214500Z,"US proposes fixed visa terms for students , exchange visitors and foreign media",https://news.webindia123.com/news/Articles/World/20250828/4354673.html,news.webindia123.com,English,India,,nprm_published_docket,True,,,,,False
nprm_published,20250828T004500Z,Trump administration plans to limit how long foreign students can study in the US,https://www.yahoo.com/news/articles/trump-administration-plans-limit-long-000354619.html,yahoo.com,English,United States,,nprm_published,False,"Trump administration plans to limit how long foreign students can study in the US
The Department of Homeland Security said Wednesday it intends to publish a proposed rule that would limit the length of time foreign students are allowed to stay in the United States.
Since 1978, foreign students, or F visa holders, could stay in the U.S. for their ""duration of status,"" meaning as long as they were enrolled as a full-time student. The proposed rule set to publish Thursday would allow for foreign students and exchange visitors to stay up to the duration of the program they are participating in, not to exceed a 4-year period.
DHS officials said the rule is to correct a system in which foreign students have ""taken advantage of U.S. generosity"" by becoming ""forever students.""
""For too long, past Administrations have allowed foreign students and other visa holders to remain in the U.S. virtually indefinitely, posing safety risks, costing untold amounts of taxpayer dollars, and disadvantaging U.S. citizens,"" a DHS spokesperson said in a statement. ""This new proposed rule would end that abuse once and for all by limiting the amount of time certain visa holders are allowed to remain in the U.S., easing the burden on the federal government to properly oversee foreign students and history.""
If finalized, the rule would require foreign students to be regularly assessed by DHS to remain in the U.S. for a longer period.
Advocates who represent foreign students, said this rule will create uncertainty for these students and leave them with more bureaucratic hurdles to clear.
""International students deserve assurance that their admission period to the U.S. will conform to the requirements of their academic programs,"" said Miriam Feldblum, president and CEO of the Presidents' Alliance, which represents 500 presidents and chancellors of public and private colleges and universities. ""They already represent the most closely monitored population in the U.S. and are subject to rigorous oversight by DHS and academic institutions.""
The proposed rule could dissuade some students from choosing to study in the U.S., said Fanta Aw, executive director and CEO of NAFSA: Association of International Educators.
""It will certainly act as an additional deterrent to international students choosing to study in the United States, to the detriment of American economies, innovation, and global competitiveness,"" Aw said in a statement.
The logistical hurdles, such as pauses in visa interviews, have already caused international student enrollment to take a hit. A report from the Institute of International Education, which collected feedback from hundreds of U.S. higher education institutions, found that 35 percent of the schools they surveyed saw a decrease in applications for this fall, compared with only a 17 percent decrease the previous academic year.
There are also serious financial implications for colleges if fewer foreign students enroll, because they typically pay more tuition and receive less scholarship support.",direct,https://www.federalregister.gov/public-inspection/2025-16554/establishing-a-fixed-time-period-of-admission-and-an-extension-of-stay-procedure-for-nonimmigrant,3034.0,False
nprm_published,20250828T014500Z,"US ends  Duration of Statu : What the new fixed visa rules mean for F - 1 , J - 1 , and I holders",https://timesofindia.indiatimes.com/education/news/us-ends-duration-of-status-what-the-new-fixed-visa-rules-mean-for-f-1-j-1-and-i-holders/articleshow/123553076.cms,timesofindia.indiatimes.com,English,India,"https://static.toiimg.com/thumb/msid-123553096,width-1070,height-580,imgsize-39268,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg","nprm_published,nprm_published_docket",False,"In a significant shift that could reshape how international students, exchange visitors, and media representatives navigate life in the United States, the Department of Homeland Security (DHS) has proposed to replace the long-standing “duration of status” framework with fixed admission periods. The move, announced through a notice of proposed rulemaking issued by US Immigration and Customs Enforcement (ICE), marks one of the most consequential immigration policy changes in recent years, directly affecting F-1 academic students, J-1 exchange visitors, and I visa holders from foreign media organisations.
 For decades, these groups were admitted under “duration of status,” a system that allowed them to stay as long as they complied with the terms of their visas, without a pre-set end date. Now, DHS wants to bring them in line with most other nonimmigrant visa categories, where admission is granted only for a specific period.
 Why DHS wants change
 According to DHS, the current open-ended framework “does not afford immigration officers enough predetermined opportunities to directly verify that aliens are engaging only in authorised activities.” Officials argue that fixed time limits would allow them to periodically assess compliance, deter fraud, and strengthen the integrity of the visa system.
 The sheer scale of arrivals has added urgency. In 2023 alone, more than 1.6 million F-1 students, over 500,000 J-1 exchange visitors, and 32,470 I visa holders entered the US. The Department believes the proposed rules will give immigration authorities clearer oversight in managing such large numbers.
What the proposed rules say
 The draft regulations outline a series of changes:
 -  Fixed admission periods: F and J visa holders will now be admitted for a maximum of four years, after which they must apply to DHS for an extension of stay.
-  Shorter grace period: F-1 students will have only 30 days after completing their studies, down from the current 60 days, to prepare for departure or transition.
-  Restrictions on program changes: Graduate-level F-1 students may face limits on changing their program mid-course.
-  Cap on I visa holders: Representatives of foreign information media will be restricted to a 240-day stay, with some exceptions for those from the People’s Republic of China.
 
 Extensions of stay will be possible, but students, visitors, and journalists will need to apply directly to DHS rather than relying on automatic status linked to ongoing enrollment or work.
What this means for international students and professionals
 For F-1 students, especially those pursuing longer academic programs or engaging in optional practical training, the shift adds a new layer of uncertainty. No longer can students assume they are secure for the entirety of their degree simply by staying enrolled; they will need to plan for mid-course extensions. For J-1 exchange visitors, including scholars and researchers, the rules may compress already tight timelines for collaborative projects. And for foreign journalists, the 240-day cap could make long-term coverage of US affairs significantly harder.
Oversight vs. opportunity
DHS frames the proposal as a matter of national security and program integrity. Yet for students and universities, the change may be seen as another barrier in an already complex immigration landscape. The US remains a top destination for higher education, but additional uncertainty about visa renewals could prompt some to consider alternatives in Canada, Australia, or Europe, where policies are comparatively more predictable.
The road ahead
 The proposed rule is now open for public comment under Docket No. ICEB-2025-0001, giving universities, student groups, and media organisations a chance to weigh in before final regulations are issued. Whatever form the final policy takes, the message is clear: The indefinite “duration of status” is ending.
 For international students and professionals, this is more than a bureaucratic adjustment, it is a signal that immigration pathways are narrowing, oversight is tightening, and long-term planning in the United States will now require even greater foresight.
(with ANI inputs) 
TOI Education is on WhatsApp now. Follow us 
here.",direct,,4241.0,True
nprm_published,20250828T031500Z,Trump administration proposes to introduce restrictions on  I  visa classification for foreign journalists,http://www.bignewsnetwork.com/news/278537303/trump-administration-proposes-to-introduce-restrictions-on-i-visa-classification-for-foreign-journalists,bignewsnetwork.com,English,United States,https://image.chitra.live/api/v1/wps/d74ba8c/6729da44-ef95-4839-9b40-9cb3e6dfc9c1/0/ANI-20250828010637-600x315.jpg,nprm_published,False,"Trump administration proposes to introduce restrictions on 'I' visa classification for foreign journalists
Washington [US], August 28 (ANI): The Trump administration introduced restrictions on the I visa classification for foreign journalists covering the United States on Wednesday (local time). While the proposed 240-day limit isn't directly tied to this administration's actions, a relevant rule change did occur during this time.
The rule aims to replace the longstanding practice of admitting most media representatives for as long as they maintained qualifying employment abroad, a system introduced in 1985. DHS argues that the indefinite 'duration of status' model undermined oversight, enabled fraud and abuse, and limited opportunities for the government to verify compliance.
'The Trump Administration has now decided to place restrictions on the duration of visa classification 'I' which is issued to foreign journalists proposing to cover the United States and visa extension will be granted only if the immigration official is convinced of the activities of the Journalist,' read the proposal from Kristi Noem, Secretary, US Department of Homeland Security.
Currently, a foreign journalist is granted permission to live and work in the US for the duration of their employment status with a foreign media organisation. Now, a time limit of 240 days is proposed, and after that, an extension would be granted only if the immigration officer is satisfied with the journalist's activities.
DHS has justified the move as necessary to strengthen immigration controls and align I visa admission rules with the fixed timelines applied to most other non-immigrant categories. It stated that the new regime would 'provide additional protections and oversight' and ensure that representatives of the foreign press are engaged only in their permitted professional duties while in the United States.
Meanwhile, on May 11, 2020, the Department of Homeland Security (DHS) published a final rule restricting the admission period for Chinese journalists on I visas to 90 days, rather than allowing them to stay for the duration of their status.
The proposed regulation would establish a fixed time period for F visas for international students, J visas that permit visitors participating in cultural exchange programs to work in the US, and I visas for members of the media.
The I visa is designed for foreign journalists, media professionals, and representatives of foreign media organisations working in the US to gather news, produce documentaries, or cover events for foreign media outlets.
To qualify for an I visa, applicants must be employed by a foreign media organisation, engage in news gathering or reporting activities, and produce non-commercial content intended for a foreign audience, according to the proposal.
I visa holders are generally admitted for the duration of their status, but specific rules apply to Chinese journalists, who are admitted for a maximum of 90 days, with possible 90-day extensions if they demonstrate activities consistent with I classification.
Foreign journalists must apply for an I visa at a US embassy or consulate, providing proof of employment with a foreign media organisation and intent to engage in media activities in the US.
As per the proposal, 'I' visa requirements include proof of employment with a foreign media organisation headquartered outside the US; intent to engage in news gathering, reporting, or documentary production and activities must be informational, non-commercial, and intended for a foreign audience.
This move is part of a broader effort to tighten legal immigration policies in the US. For 'F' visas of international students, the proposed regulation would limit the visa period to four years or the program end date, whichever is shorter, plus a 30-day grace period. Students must apply for extensions before their admission expires.
For 'J' visas of exchange visitors, holders are admitted for a fixed period, typically up to four years, and must apply for extensions.
For 'I' visas of journalists, the visa period would be limited to 240 days, with possible extensions. Chinese nationals would face an even shorter limit of 90 days.
Over 1.6 million international students on F visas in the US would be affected. Approximately 355,000 exchange visitors and 13,000 members of the media granted visas in fiscal year 2024 would also be impacted.
NAFSA, a non-profit organisation representing international educators, opposed a similar proposal in 2020 and called for its withdrawal. The Biden administration withdrew the 2020 proposal in 2021.
The public will have 30 days to comment on the proposed regulation once it's published in the Federal Register. (ANI)",direct,,4738.0,False
nprm_published,20250828T031500Z,US Plans To End  Visa Abuse  By Limiting How Long Foreign Students Can Study In Country | World News,https://www.news18.com/world/us-plans-to-end-visa-abuse-by-limiting-how-long-foreign-students-can-study-in-country-9532943.html,news18.com,English,India,https://images.news18.com/ibnlive/uploads/2025/06/Untitled-design-2025-06-05T142827.376-2025-06-c438b372d10da945ec07ee924f8a2bf8.png,nprm_published,False,"US Plans To End ‘Visa Abuse’ By Limiting How Long Foreign Students Can Study In Country
US Student Visa: US officials stated that the rule is designed to prevent individuals from remaining in the US indefinitely under student status
US Student Visa: The US government stated that a new immigration rule is necessary to curb “visa abuse"" by limiting the duration of stay for foreign students and exchange visitors in the country.
The Department of Homeland Security (DHS) said on Wednesday that it will publish the proposed regulation on Thursday.
Recommended Stories
Since 1978, students on F visas have been allowed to stay for the “duration of status,"" meaning they could remain in the United States as long as they were enrolled full-time in an academic program.
The new proposal would instead grant admission for the length of a student’s program, up to a maximum of four years.
The officials stated that the rule is designed to prevent individuals from remaining in the US indefinitely under student status.
“For too long, past Administrations have allowed foreign students and other visa holders to remain in the US virtually indefinitely, posing safety risks, costing untold amounts of taxpayer dollars, and disadvantaging U.S. citizens,"" a DHS spokesperson said.
“This new proposed rule would end that abuse once and for all by limiting the amount of time certain visa holders are allowed to remain in the US, easing the burden on the federal government to properly oversee foreign students and history.""
If finalised, the rule would also require students to undergo periodic reviews by DHS to extend their stay.
Education advocates warned the proposal could create new hurdles for international students.
“International students deserve assurance that their admission period to the U.S. will conform to the requirements of their academic programs,"" said Miriam Feldblum, president and CEO of the Presidents’ Alliance, which represents more than 500 college and university leaders.
“They already represent the most closely monitored population in the U.S. and are subject to rigorous oversight by DHS and academic institutions.""
Fanta Aw, executive director and CEO of NAFSA: Association of International Educators, said the plan could further discourage students from choosing US institutions.
“It will certainly act as an additional deterrent to international students choosing to study in the United States, to the detriment of American economies, innovation, and global competitiveness,"" Aw said.
International enrollment has already been affected by visa processing delays and other disruptions.
A recent survey by the Institute of International Education found that 35 per cent of U.S. colleges reported a drop in applications for the upcoming year, compared with 17 percent the year before.",wayback 20250917124629,https://images.news18.com/dlxczavtqcctuei/news18/static/images/english/iso_certificate_2024_to_2027.pdf,2805.0,False
nprm_published,20250828T034500Z,Trump administration proposes to introduce restrictions on  I  visa classification for foreign journalists,https://aninews.in/news/world/us/trump-administration-proposes-to-introduce-restrictions-on-i-visa-classification-for-foreign-journalists20250828075039/,aninews.in,English,India,https://d3lzcn6mbbadaf.cloudfront.net/media/details/ANI-20250828010637.jpg,nprm_published,True,,,,,False
nprm_published,20250828T051500Z,Trump administration proposes to introduce restrictions on  I  visa classification for foreign journalists,https://news.webindia123.com/news/Articles/World/20250828/4354693.html,news.webindia123.com,English,India,,nprm_published,True,,,,,False
nprm_published,20250828T061500Z,Trump administration proposes to introduce restrictions on  I  visa classification for foreign journalists,https://timesofoman.com/article/162096-trump-administration-proposes-to-introduce-restrictions-on-i-visa-classification-for-foreign-journalists,timesofoman.com,English,Oman,https://shabiba.eu-central-1.linodeobjects.com/2025/08/1756352088-1756352088-usen01gkch4j.jpg,nprm_published,True,,,,,False
nprm_published,20250828T070000Z,Trump administration proposes 4 - year limit for international student visas,https://www.foxnews.com/politics/trump-admin-plans-impose-4-year-limits-foreign-students-studying-us,foxnews.com,English,United States,https://static.foxnews.com/foxnews.com/content/uploads/2025/04/kristi-noem.jpg,nprm_published,False,"The Trump administration on Wednesday announced a proposed rule to limit the length of time international students can remain in the U.S. for their studies to four years.
If finalized, the proposed rule set to be published on Thursday would limit how long certain visa holders, including foreign students, are allowed to stay in the U.S., according to a press release from the Department of Homeland Security, which said the proposal seeks to curb ""visa abuse"" and increase the agency's ability to ""properly vet and oversee these individuals.""
The agency said foreign students have ""taken advantage of U.S. generosity"" and become ""forever students"" by remaining enrolled in colleges so they could stay in the U.S.
""For too long, past Administrations have allowed foreign students and other visa holders to remain in the U.S. virtually indefinitely, posing safety risks, costing untold amount of taxpayer dollars, and disadvantaging U.S. citizens,"" a DHS spokesperson said in a statement.
""This new proposed rule would end that abuse once and for all by limiting the amount of time certain visa holders are allowed to remain in the U.S., easing the burden on the federal government to properly oversee foreign students and their history,"" the spokesperson continued.
Since 1978, foreign students, or F visa holders, have been allowed to remain in the U.S. for their ""duration of status,"" which means the time they were enrolled as a full-time student. The proposed rule would allow foreign students and exchange visitors to stay in the country up to the duration of the program they are participating in, although the federal government would not permit it to exceed four years, which is typically less time than it takes to pursue any additional education beyond a bachelor's degree.
HOUSE DEMOCRATS CALL ON RUBIO TO ALLOW INJURED CHILDREN FROM GAZA INTO US FOLLOWING VISA HALT
In addition to students, the proposed rule would set the initial admission period for foreign journalists at up to 240 days, although they may seek an extension of up to another 240 days, but no longer than the length of their assignment.
Requiring regular assessments by DHS for foreigners to remain in the U.S. for a longer period would allow the agency to conduct ""proper oversight"" and reduce the number of people in the country on visas, the press release said.
CLICK HERE TO GET THE FOX NEWS APP
Foreign students, notably, typically pay more tuition and receive fewer scholarship opportunities, meaning the proposed rule may have a financial impact on U.S. colleges if it leads to a dip in international enrollment.
""It will certainly act as an additional deterrent to international students choosing to study in the United States, to the detriment of American economies, innovation, and global competitiveness,"" Fanta Aw, executive director and CEO of NAFSA: Association of International Educators, said in a statement to POLITICO.",direct,,2916.0,False
