article_id,title,url,domain,seendate,window,source_country,is_repost,has_text,text_chars,cluster_size,source_urls,source_article_ids,extraction_status,grounding_score,confidence,confidence_note,checkable_claims,checked_claims,coverage_percent,claim_count,viewpoint_count,supported_count,partially_supported_count,contradicted_count,not_verifiable_count,review_required_count,extraction_warnings,verification_warnings,extraction_error_type,extraction_error_provider,extraction_error_code,extraction_error_param,extraction_error_request_id,extraction_error_filtered_categories,flat_row_id,record_type,record_index,evidence_index,speaker,organization,source_quote,start_char,end_char,sentence_ids,claim_text,claim_type,viewpoint_stance,viewpoint_target_provision,viewpoint_reason,verification_status,verification_verdict,verification_reason,verification_documents_searched,verification_evidence_as_of,verification_review_required,verification_key_fact_ids,verification_retrieved_evidence_ids,evidence_id,evidence_doc,evidence_citation,evidence_source_type,evidence_source_url,evidence_text
76c69fe3840d7b43,"US proposes fixed visa terms for students , exchange visitors and foreign media",http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media,bignewsnetwork.com,20250827T211500Z,nprm_published_docket,United States,False,True,5259,2,http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media | https://news.webindia123.com/news/Articles/World/20250828/4354673.html,76c69fe3840d7b43 | 103a3c6d8f828eea,complete,96.7,High,Heuristic based on verification coverage; not statistically calibrated.,11,11,100.0,12,0,10,1,0,0,2,,,,,,,,,76c69fe3840d7b43:claim:1:evidence:1,claim,1,1,US Department of Homeland Security (DHS),US Department of Homeland Security (DHS),"The US Department of Homeland Security (DHS) has proposed new regulations to replace the 'duration of status' framework with fixed admission periods for nonimmigrant academic students (F), exchange visitors (J), and representatives of foreign information media (I).",231,496,1,"The US Department of Homeland Security (DHS) has proposed new regulations to replace the 'duration of status' framework with fixed admission periods for nonimmigrant academic students (F), exchange visitors (J), and representatives of foreign information media (I).",policy,,,,complete,supported,"The evidence from multiple sections of the proposed rule confirms that DHS has proposed new regulations to replace 'duration of status' with fixed admission periods for F, J, and I nonimmigrants, explicitly striking references to D/S and establishing fixed periods consistent with the claim.",proposed,2025-08-27,False,KF-DS-01 | KF-I-01 | KF-TRANS-01,proposed:III.B/p3 | proposed:III.B/p21 | proposed:8 CFR 214.1/p31 | proposed:FRONT.SUMMARY/p1 | proposed:V/p2,proposed:III.B/p3,proposed,90 FR 42072,agency_explanation,,"Striking all references to D/S for F, J, and I nonimmigrants;"
76c69fe3840d7b43,"US proposes fixed visa terms for students , exchange visitors and foreign media",http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media,bignewsnetwork.com,20250827T211500Z,nprm_published_docket,United States,False,True,5259,2,http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media | https://news.webindia123.com/news/Articles/World/20250828/4354673.html,76c69fe3840d7b43 | 103a3c6d8f828eea,complete,96.7,High,Heuristic based on verification coverage; not statistically calibrated.,11,11,100.0,12,0,10,1,0,0,2,,,,,,,,,76c69fe3840d7b43:claim:1:evidence:2,claim,1,2,US Department of Homeland Security (DHS),US Department of Homeland Security (DHS),"The US Department of Homeland Security (DHS) has proposed new regulations to replace the 'duration of status' framework with fixed admission periods for nonimmigrant academic students (F), exchange visitors (J), and representatives of foreign information media (I).",231,496,1,"The US Department of Homeland Security (DHS) has proposed new regulations to replace the 'duration of status' framework with fixed admission periods for nonimmigrant academic students (F), exchange visitors (J), and representatives of foreign information media (I).",policy,,,,complete,supported,"The evidence from multiple sections of the proposed rule confirms that DHS has proposed new regulations to replace 'duration of status' with fixed admission periods for F, J, and I nonimmigrants, explicitly striking references to D/S and establishing fixed periods consistent with the claim.",proposed,2025-08-27,False,KF-DS-01 | KF-I-01 | KF-TRANS-01,proposed:III.B/p3 | proposed:III.B/p21 | proposed:8 CFR 214.1/p31 | proposed:FRONT.SUMMARY/p1 | proposed:V/p2,proposed:III.B/p21,proposed,90 FR 42073,agency_explanation,,"Replacing D/S for I nonimmigrants with admission for a fixed time period until they complete the activities or assignments consistent with the I classification, not to exceed 240 days (with the exception of some I aliens from the People's Republic of China), with an EOS available for I nonimmigrants who can meet specified EOS requirements;"
76c69fe3840d7b43,"US proposes fixed visa terms for students , exchange visitors and foreign media",http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media,bignewsnetwork.com,20250827T211500Z,nprm_published_docket,United States,False,True,5259,2,http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media | https://news.webindia123.com/news/Articles/World/20250828/4354673.html,76c69fe3840d7b43 | 103a3c6d8f828eea,complete,96.7,High,Heuristic based on verification coverage; not statistically calibrated.,11,11,100.0,12,0,10,1,0,0,2,,,,,,,,,76c69fe3840d7b43:claim:1:evidence:3,claim,1,3,US Department of Homeland Security (DHS),US Department of Homeland Security (DHS),"The US Department of Homeland Security (DHS) has proposed new regulations to replace the 'duration of status' framework with fixed admission periods for nonimmigrant academic students (F), exchange visitors (J), and representatives of foreign information media (I).",231,496,1,"The US Department of Homeland Security (DHS) has proposed new regulations to replace the 'duration of status' framework with fixed admission periods for nonimmigrant academic students (F), exchange visitors (J), and representatives of foreign information media (I).",policy,,,,complete,supported,"The evidence from multiple sections of the proposed rule confirms that DHS has proposed new regulations to replace 'duration of status' with fixed admission periods for F, J, and I nonimmigrants, explicitly striking references to D/S and establishing fixed periods consistent with the claim.",proposed,2025-08-27,False,KF-DS-01 | KF-I-01 | KF-TRANS-01,proposed:III.B/p3 | proposed:III.B/p21 | proposed:8 CFR 214.1/p31 | proposed:FRONT.SUMMARY/p1 | proposed:V/p2,proposed:8 CFR 214.1/p31,proposed,8 CFR 214.1(m)(1),regulatory_text,,"(1) Transition from duration of status admission to a fixed admission period for aliens properly maintaining F and J status on [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE]. Aliens with F or J status who are properly maintaining their status on [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE] and who were admitted for duration of status are authorized to remain in the United States in F or J nonimmigrant status until the later date of either the expiration date on an Employment Authorization Document, Form I-766, or successor form or the program end date noted on their Form I-20 or Form DS-2019, as applicable, not to exceed a period of 4 years from [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE], plus the departure period of 60 days for F nonimmigrants, which is [DHS WILL INSERT DATE 4 YEARS AND 120 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE], and 30 days for J nonimmigrants, which is [DHS WILL INSERT DATE 4 YEARS AND 90 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE]. Subject to 8 CFR 274a.14, any authorized employment or training continues until the program end date on such F or J nonimmigrant's Form I-20 or DS-2019, as applicable and as endorsed by the designated school official or responsible officer for employment or training, or expiration date on the alien's Employment Authorization Document, Form I-766, or successor form. Aliens who need additional time to complete their current program of study, including requests for post-completion optional practical training (OPT) and Science Technology Engineering and Mathematics (STEM) OPT, or exchange visitor program, including academic training, or would like to start a new program of study or exchange visitor program must apply for an extension of stay with USCIS in accordance with paragraph (c)(2) of this section for an admission period to a fixed date."
76c69fe3840d7b43,"US proposes fixed visa terms for students , exchange visitors and foreign media",http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media,bignewsnetwork.com,20250827T211500Z,nprm_published_docket,United States,False,True,5259,2,http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media | https://news.webindia123.com/news/Articles/World/20250828/4354673.html,76c69fe3840d7b43 | 103a3c6d8f828eea,complete,96.7,High,Heuristic based on verification coverage; not statistically calibrated.,11,11,100.0,12,0,10,1,0,0,2,,,,,,,,,76c69fe3840d7b43:claim:1:evidence:4,claim,1,4,US Department of Homeland Security (DHS),US Department of Homeland Security (DHS),"The US Department of Homeland Security (DHS) has proposed new regulations to replace the 'duration of status' framework with fixed admission periods for nonimmigrant academic students (F), exchange visitors (J), and representatives of foreign information media (I).",231,496,1,"The US Department of Homeland Security (DHS) has proposed new regulations to replace the 'duration of status' framework with fixed admission periods for nonimmigrant academic students (F), exchange visitors (J), and representatives of foreign information media (I).",policy,,,,complete,supported,"The evidence from multiple sections of the proposed rule confirms that DHS has proposed new regulations to replace 'duration of status' with fixed admission periods for F, J, and I nonimmigrants, explicitly striking references to D/S and establishing fixed periods consistent with the claim.",proposed,2025-08-27,False,KF-DS-01 | KF-I-01 | KF-TRANS-01,proposed:III.B/p3 | proposed:III.B/p21 | proposed:8 CFR 214.1/p31 | proposed:FRONT.SUMMARY/p1 | proposed:V/p2,proposed:FRONT.SUMMARY/p1,proposed,90 FR 42070,front_matter,,"Unlike most nonimmigrant classifications, which are admitted for a fixed time period, aliens in the F (academic student), J (exchange visitor), and most I (representatives of foreign information media) classifications, with limited exceptions, are currently admitted into the United States for the period of time that they are complying with the terms and conditions of their nonimmigrant classification (""duration of status""). The U.S. Department of Homeland Security (DHS) proposes to amend its regulations by changing the admission period in the F, J, and I classifications from duration of status to an admission for a fixed time period."
76c69fe3840d7b43,"US proposes fixed visa terms for students , exchange visitors and foreign media",http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media,bignewsnetwork.com,20250827T211500Z,nprm_published_docket,United States,False,True,5259,2,http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media | https://news.webindia123.com/news/Articles/World/20250828/4354673.html,76c69fe3840d7b43 | 103a3c6d8f828eea,complete,96.7,High,Heuristic based on verification coverage; not statistically calibrated.,11,11,100.0,12,0,10,1,0,0,2,,,,,,,,,76c69fe3840d7b43:claim:1:evidence:5,claim,1,5,US Department of Homeland Security (DHS),US Department of Homeland Security (DHS),"The US Department of Homeland Security (DHS) has proposed new regulations to replace the 'duration of status' framework with fixed admission periods for nonimmigrant academic students (F), exchange visitors (J), and representatives of foreign information media (I).",231,496,1,"The US Department of Homeland Security (DHS) has proposed new regulations to replace the 'duration of status' framework with fixed admission periods for nonimmigrant academic students (F), exchange visitors (J), and representatives of foreign information media (I).",policy,,,,complete,supported,"The evidence from multiple sections of the proposed rule confirms that DHS has proposed new regulations to replace 'duration of status' with fixed admission periods for F, J, and I nonimmigrants, explicitly striking references to D/S and establishing fixed periods consistent with the claim.",proposed,2025-08-27,False,KF-DS-01 | KF-I-01 | KF-TRANS-01,proposed:III.B/p3 | proposed:III.B/p21 | proposed:8 CFR 214.1/p31 | proposed:FRONT.SUMMARY/p1 | proposed:V/p2,proposed:V/p2,proposed,90 FR 42081,agency_explanation,,"However, certain nonimmigrant classifications, including F academic students, J exchange visitors, and I representatives of foreign information media, and their dependents, may be admitted into the United States for D/S instead of a period of time with a specific departure date. DHS is proposing changes to the admission provisions for these particular nonimmigrant classifications, including replacing admissions for ""duration of status"" with a fixed admission period. This would enable immigration officers to independently and directly verify the continued eligibility of foreign visitors in F, J, or I nonimmigrant status. It would also require aliens who fall under certain criteria to apply more frequently for additional admission periods."
76c69fe3840d7b43,"US proposes fixed visa terms for students , exchange visitors and foreign media",http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media,bignewsnetwork.com,20250827T211500Z,nprm_published_docket,United States,False,True,5259,2,http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media | https://news.webindia123.com/news/Articles/World/20250828/4354673.html,76c69fe3840d7b43 | 103a3c6d8f828eea,complete,96.7,High,Heuristic based on verification coverage; not statistically calibrated.,11,11,100.0,12,0,10,1,0,0,2,,,,,,,,,76c69fe3840d7b43:claim:2:evidence:1,claim,2,1,US Department of Homeland Security (DHS),US Department of Homeland Security (DHS),"the DHS aims to amend its regulations to ensure that F, J, and I nonimmigrants are admitted for a specific time period rather than indefinitely as long as they comply with the terms of their status.",611,809,2,"The DHS aims to amend its regulations to ensure that F, J, and I nonimmigrants are admitted for a specific time period rather than indefinitely as long as they comply with the terms of their status.",policy,,,,complete,supported,"Evidence shows DHS aims to amend regulations so that F, J, and I nonimmigrants are admitted for specific fixed time periods instead of indefinite D/S periods, requiring applications for extensions for stays beyond that fixed time, directly consistent with the claim.",proposed,2025-08-27,False,KF-DS-01 | KF-EOS-03 | KF-TRANS-01,proposed:III.B/p3 | proposed:III.B/p17 | proposed:8 CFR 214.1/p31 | proposed:FRONT.SUMMARY/p1 | proposed:IV.B.i/p2,proposed:III.B/p3,proposed,90 FR 42072,agency_explanation,,"Striking all references to D/S for F, J, and I nonimmigrants;"
76c69fe3840d7b43,"US proposes fixed visa terms for students , exchange visitors and foreign media",http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media,bignewsnetwork.com,20250827T211500Z,nprm_published_docket,United States,False,True,5259,2,http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media | https://news.webindia123.com/news/Articles/World/20250828/4354673.html,76c69fe3840d7b43 | 103a3c6d8f828eea,complete,96.7,High,Heuristic based on verification coverage; not statistically calibrated.,11,11,100.0,12,0,10,1,0,0,2,,,,,,,,,76c69fe3840d7b43:claim:2:evidence:2,claim,2,2,US Department of Homeland Security (DHS),US Department of Homeland Security (DHS),"the DHS aims to amend its regulations to ensure that F, J, and I nonimmigrants are admitted for a specific time period rather than indefinitely as long as they comply with the terms of their status.",611,809,2,"The DHS aims to amend its regulations to ensure that F, J, and I nonimmigrants are admitted for a specific time period rather than indefinitely as long as they comply with the terms of their status.",policy,,,,complete,supported,"Evidence shows DHS aims to amend regulations so that F, J, and I nonimmigrants are admitted for specific fixed time periods instead of indefinite D/S periods, requiring applications for extensions for stays beyond that fixed time, directly consistent with the claim.",proposed,2025-08-27,False,KF-DS-01 | KF-EOS-03 | KF-TRANS-01,proposed:III.B/p3 | proposed:III.B/p17 | proposed:8 CFR 214.1/p31 | proposed:FRONT.SUMMARY/p1 | proposed:IV.B.i/p2,proposed:III.B/p17,proposed,90 FR 42073,agency_explanation,,"Providing for collection of biometric information in conjunction with an EOS application for F, J, and I nonimmigrants as may be required by 8 CFR 103.16;"
76c69fe3840d7b43,"US proposes fixed visa terms for students , exchange visitors and foreign media",http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media,bignewsnetwork.com,20250827T211500Z,nprm_published_docket,United States,False,True,5259,2,http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media | https://news.webindia123.com/news/Articles/World/20250828/4354673.html,76c69fe3840d7b43 | 103a3c6d8f828eea,complete,96.7,High,Heuristic based on verification coverage; not statistically calibrated.,11,11,100.0,12,0,10,1,0,0,2,,,,,,,,,76c69fe3840d7b43:claim:2:evidence:3,claim,2,3,US Department of Homeland Security (DHS),US Department of Homeland Security (DHS),"the DHS aims to amend its regulations to ensure that F, J, and I nonimmigrants are admitted for a specific time period rather than indefinitely as long as they comply with the terms of their status.",611,809,2,"The DHS aims to amend its regulations to ensure that F, J, and I nonimmigrants are admitted for a specific time period rather than indefinitely as long as they comply with the terms of their status.",policy,,,,complete,supported,"Evidence shows DHS aims to amend regulations so that F, J, and I nonimmigrants are admitted for specific fixed time periods instead of indefinite D/S periods, requiring applications for extensions for stays beyond that fixed time, directly consistent with the claim.",proposed,2025-08-27,False,KF-DS-01 | KF-EOS-03 | KF-TRANS-01,proposed:III.B/p3 | proposed:III.B/p17 | proposed:8 CFR 214.1/p31 | proposed:FRONT.SUMMARY/p1 | proposed:IV.B.i/p2,proposed:8 CFR 214.1/p31,proposed,8 CFR 214.1(m)(1),regulatory_text,,"(1) Transition from duration of status admission to a fixed admission period for aliens properly maintaining F and J status on [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE]. Aliens with F or J status who are properly maintaining their status on [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE] and who were admitted for duration of status are authorized to remain in the United States in F or J nonimmigrant status until the later date of either the expiration date on an Employment Authorization Document, Form I-766, or successor form or the program end date noted on their Form I-20 or Form DS-2019, as applicable, not to exceed a period of 4 years from [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE], plus the departure period of 60 days for F nonimmigrants, which is [DHS WILL INSERT DATE 4 YEARS AND 120 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE], and 30 days for J nonimmigrants, which is [DHS WILL INSERT DATE 4 YEARS AND 90 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE]. Subject to 8 CFR 274a.14, any authorized employment or training continues until the program end date on such F or J nonimmigrant's Form I-20 or DS-2019, as applicable and as endorsed by the designated school official or responsible officer for employment or training, or expiration date on the alien's Employment Authorization Document, Form I-766, or successor form. Aliens who need additional time to complete their current program of study, including requests for post-completion optional practical training (OPT) and Science Technology Engineering and Mathematics (STEM) OPT, or exchange visitor program, including academic training, or would like to start a new program of study or exchange visitor program must apply for an extension of stay with USCIS in accordance with paragraph (c)(2) of this section for an admission period to a fixed date."
76c69fe3840d7b43,"US proposes fixed visa terms for students , exchange visitors and foreign media",http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media,bignewsnetwork.com,20250827T211500Z,nprm_published_docket,United States,False,True,5259,2,http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media | https://news.webindia123.com/news/Articles/World/20250828/4354673.html,76c69fe3840d7b43 | 103a3c6d8f828eea,complete,96.7,High,Heuristic based on verification coverage; not statistically calibrated.,11,11,100.0,12,0,10,1,0,0,2,,,,,,,,,76c69fe3840d7b43:claim:2:evidence:4,claim,2,4,US Department of Homeland Security (DHS),US Department of Homeland Security (DHS),"the DHS aims to amend its regulations to ensure that F, J, and I nonimmigrants are admitted for a specific time period rather than indefinitely as long as they comply with the terms of their status.",611,809,2,"The DHS aims to amend its regulations to ensure that F, J, and I nonimmigrants are admitted for a specific time period rather than indefinitely as long as they comply with the terms of their status.",policy,,,,complete,supported,"Evidence shows DHS aims to amend regulations so that F, J, and I nonimmigrants are admitted for specific fixed time periods instead of indefinite D/S periods, requiring applications for extensions for stays beyond that fixed time, directly consistent with the claim.",proposed,2025-08-27,False,KF-DS-01 | KF-EOS-03 | KF-TRANS-01,proposed:III.B/p3 | proposed:III.B/p17 | proposed:8 CFR 214.1/p31 | proposed:FRONT.SUMMARY/p1 | proposed:IV.B.i/p2,proposed:FRONT.SUMMARY/p1,proposed,90 FR 42070,front_matter,,"Unlike most nonimmigrant classifications, which are admitted for a fixed time period, aliens in the F (academic student), J (exchange visitor), and most I (representatives of foreign information media) classifications, with limited exceptions, are currently admitted into the United States for the period of time that they are complying with the terms and conditions of their nonimmigrant classification (""duration of status""). The U.S. Department of Homeland Security (DHS) proposes to amend its regulations by changing the admission period in the F, J, and I classifications from duration of status to an admission for a fixed time period."
76c69fe3840d7b43,"US proposes fixed visa terms for students , exchange visitors and foreign media",http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media,bignewsnetwork.com,20250827T211500Z,nprm_published_docket,United States,False,True,5259,2,http://www.bignewsnetwork.com/news/278537018/us-proposes-fixed-visa-terms-for-students-exchange-visitors-and-foreign-media | https://news.webindia123.com/news/Articles/World/20250828/4354673.html,76c69fe3840d7b43 | 103a3c6d8f828eea,complete,96.7,High,Heuristic based on verification coverage; not statistically calibrated.,11,11,100.0,12,0,10,1,0,0,2,,,,,,,,,76c69fe3840d7b43:claim:2:evidence:5,claim,2,5,US Department of Homeland Security (DHS),US Department of Homeland Security (DHS),"the DHS aims to amend its regulations to ensure that F, J, and I nonimmigrants are admitted for a specific time period rather than indefinitely as long as they comply with the terms of their status.",611,809,2,"The DHS aims to amend its regulations to ensure that F, J, and I nonimmigrants are admitted for a specific time period rather than indefinitely as long as they comply with the terms of their status.",policy,,,,complete,supported,"Evidence shows DHS aims to amend regulations so that F, J, and I nonimmigrants are admitted for specific fixed time periods instead of indefinite D/S periods, requiring applications for extensions for stays beyond that fixed time, directly consistent with the claim.",proposed,2025-08-27,False,KF-DS-01 | KF-EOS-03 | KF-TRANS-01,proposed:III.B/p3 | proposed:III.B/p17 | proposed:8 CFR 214.1/p31 | proposed:FRONT.SUMMARY/p1 | proposed:IV.B.i/p2,proposed:IV.B.i/p2,proposed,90 FR 42074,agency_explanation,,"From 1973 to 1979, F students were admitted for one year and could be granted an EOS in increments of up to 12 months if they established that they were maintaining status.[^26] However, on July 26, 1978, given the large number of nonimmigrant students in the United States at the time and the need to continually process their EOS applications, legacy INS proposed amending the regulations to permit F-1 aliens to be admitted for the duration of their status as students.[^27] Legacy INS explained the changes would facilitate the admission of nonimmigrant students, provide dollar and manpower savings to the Government, and permit more efficient use of resources.[^28] On November 22, 1978, a final rule was published to amend the regulations at 8 CFR 214 to allow INS to admit F-1 students for a D/S period as students.[^29] That rule became effective on January 1, 1979."
