source_kind,outlet,source_date,source_url,source_title,claim,quote,timestamp,type,about,topic,claim_id,verdict,basis,explanation,addressed,accurate_at_publish,changed_since,confidence,agreement,evidence,evidence_link,top_similarity,verdict_at_publish,model_suggests_outdated,model
video,Bethel Law Group,2026-09-14,https://www.facebook.com/BethelLawImm/videos/a-federal-judge-in-massachusetts-has-postponed-a-dhs-rule-that-was-set-to-take-e/1405856235086952/,"17K views · 183 reactions | A federal judge in Massachusetts has POSTPONED a DHS rule that was set to take effect September 15 and would have ended the longstanding “duration of status” framework for international students and certain other visa holders. In issuing the order, the court described DHS’s justification as “exceptionally weak” and raised serious concerns about the potentially catastrophic impact of the rule on higher education and the U.S. economy. For now, duration of status remains in effect. Nothing changes on September 15. The lawsuit will continue, and DHS may still appeal. We will continue monitoring the case and provide updates as they develop. Need immigration assistance ? Need immigration assistance? Give us a call 📱 Bethel Law Group ⚖️ Nationwide Representation 🌍 Personalized Approach Reliable Updates. Clear Guidance 📲 : 508.439.4445 📧: connect@bethellawgroup.com | Bethel Law Group","A federal judge in Massachusetts postponed the DHS rule that was set to take effect on September 15, 2026, which would have ended the longstanding duration of status framework for international students and certain other visa holders.",a federal judge in Massachusetts postponed a rule that was supposed to take effect tomorrow. This rule by DHS was supposed to end duration of status for international students and other visa holders.,0:00:07,fact,legal_status,fixed admission periods,1,Supported,timeline,"The timeline explicitly states that on 2026-09-14, a federal court in Massachusetts postponed the final DHS rule that was set to take effect on 2026-09-15. The rule concerns changing the admission period for F, J, and I visa holders from duration of status to a fixed period, effectively ending the longstanding duration of status framework. The final rule text (v2) confirms this change in status framework. Thus, the claim is directly confirmed by the timeline and supported by the final rule text.",True,yes,False,0.95,3/3,"v2 | SUMMARY: | 91 FR 44976 | The Department of Homeland Security (DHS) is amending its regulations to change the admission period in the F, J, and I classifications from duration of status to an admission for a fixed time period, and additional changes to admission and extension requirements. This final rule will provide additi || v2 | DATES: | 91 FR 44976 | This rule has been classified as a major rule subject to congressional review. The effective date is September 15, 2026. However, at the conclusion of the congressional review, if the effective date has been changed, DHS will publish a document in the Federal Register to establish the actual effecti || v2 | I. Change of Status | 91 FR 45115 | The final rule retains, unchanged, the two provisions added to 8 CFR part 248, which governs changes of status. In the first provision, DHS clarified that aliens who were granted a change to F or J status, before the effective date of the final rule, and are applying for admission as an F or J after",https://www.federalregister.gov/citation/91-FR-44976,0.794,Supported,False,gpt-4.1-mini
video,Bethel Law Group,2026-09-14,https://www.facebook.com/BethelLawImm/videos/a-federal-judge-in-massachusetts-has-postponed-a-dhs-rule-that-was-set-to-take-e/1405856235086952/,"17K views · 183 reactions | A federal judge in Massachusetts has POSTPONED a DHS rule that was set to take effect September 15 and would have ended the longstanding “duration of status” framework for international students and certain other visa holders. In issuing the order, the court described DHS’s justification as “exceptionally weak” and raised serious concerns about the potentially catastrophic impact of the rule on higher education and the U.S. economy. For now, duration of status remains in effect. Nothing changes on September 15. The lawsuit will continue, and DHS may still appeal. We will continue monitoring the case and provide updates as they develop. Need immigration assistance ? Need immigration assistance? Give us a call 📱 Bethel Law Group ⚖️ Nationwide Representation 🌍 Personalized Approach Reliable Updates. Clear Guidance 📲 : 508.439.4445 📧: connect@bethellawgroup.com | Bethel Law Group",The Department of Homeland Security announced a few months ago that it planned to end the long-standing policy of duration of status for international students and other visa holders.,the Department of Homeland Security a few months ago indicated that they had plans to end the long-standing policy of duration of status for international students and other visa holders.,0:00:21,fact,rulemaking_process,fixed admission periods,2,Supported,both,"The proposed rule (v1) and final rule (v2) both clearly state that DHS is changing the admission period for F, J, and I visa holders from duration of status (D/S) to a fixed admission period, effectively ending the long-standing D/S policy. The final rule summary (passage 4) explicitly confirms this change. The timeline shows the final rule was published on 2026-07-17 and was set to take effect on 2026-09-15, but a court postponed its implementation on 2026-09-14, the source's publish date. Thus, as of the source date, DHS had announced plans to end D/S, but the rule was not yet in effect due to the court postponement. This directly addresses the claim and confirms it is accurate as of the source date, with no subsequent change after that date making it untrue.",True,yes,False,0.95,3/3,"v1 | iii. I Classification | 90 FR 42076 | From 1973 to 1985, aliens admitted to the United States in I nonimmigrant status were admitted for a period of 1 year with the possibility of extensions. 50 In 1985, legacy INS amended the regulations to allow nonimmigrant foreign information media representatives to be admitted for the duration of  || v1 | Regulatory text Â§â214.1 | 90 FR 42107 | (1) Transition from duration of status admission to a fixed admission period for aliens properly maintaining F and J status on [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE]. Aliens with F or J status who are properly maintaining their status on [DHS WILL INSERT DATE 60 D || v2 | SUMMARY: | 91 FR 44976 | The Department of Homeland Security (DHS) is amending its regulations to change the admission period in the F, J, and I classifications from duration of status to an admission for a fixed time period, and additional changes to admission and extension requirements. This final rule will provide additi",https://www.federalregister.gov/citation/90-FR-42076,0.765,Supported,False,gpt-4.1-mini
video,Bethel Law Group,2026-09-14,https://www.facebook.com/BethelLawImm/videos/a-federal-judge-in-massachusetts-has-postponed-a-dhs-rule-that-was-set-to-take-e/1405856235086952/,"17K views · 183 reactions | A federal judge in Massachusetts has POSTPONED a DHS rule that was set to take effect September 15 and would have ended the longstanding “duration of status” framework for international students and certain other visa holders. In issuing the order, the court described DHS’s justification as “exceptionally weak” and raised serious concerns about the potentially catastrophic impact of the rule on higher education and the U.S. economy. For now, duration of status remains in effect. Nothing changes on September 15. The lawsuit will continue, and DHS may still appeal. We will continue monitoring the case and provide updates as they develop. Need immigration assistance ? Need immigration assistance? Give us a call 📱 Bethel Law Group ⚖️ Nationwide Representation 🌍 Personalized Approach Reliable Updates. Clear Guidance 📲 : 508.439.4445 📧: connect@bethellawgroup.com | Bethel Law Group","Duration of status means that international students and other visa holders are allowed to stay in the United States as long as they maintain lawful status, such as being enrolled full-time and not violating immigration laws.","Duration of status means that rather than having a specific date by which you had to leave the United States, individuals like students were allowed to stay in the United States as long as they were maintaining lawful status, meaning they were enrolled in school full-time and weren't violating any other immigration laws.",0:00:31,fact,rule_content,fixed admission periods,3,Supported,v2,"Passage [5] from the final rule explicitly defines duration of status (D/S) for F, J, and I nonimmigrants as an unspecified period during which the individual is engaged in authorized activities (e.g., full-time study for F students) and maintaining lawful status, consistent with the claim. The timeline shows the final rule was published on 2026-07-17 and effective 2026-09-15, but a court postponed it on 2026-09-14, the source's publish date. The claim matches the final rule's description of D/S as allowing stay while maintaining lawful status, such as full-time enrollment, so it is accurate as of the source date. No later changes in the timeline or final rule contradict this core definition, only procedural postponement of the rule's effect.",True,yes,False,0.95,3/3,"v2 | A. Purpose of the Regulatory Action | 91 FR 44976 | Unlike aliens in most nonimmigrant classifications who are admitted until a specific departure date, F, J, and I (except for some I nonimmigrants from the People's Republic of China (PRC)) nonimmigrants are admitted into the United States for an unspecified period of time to engage in activities aut",https://www.federalregister.gov/citation/91-FR-44976,0.789,Supported,False,gpt-4.1-mini
video,Bethel Law Group,2026-09-14,https://www.facebook.com/BethelLawImm/videos/a-federal-judge-in-massachusetts-has-postponed-a-dhs-rule-that-was-set-to-take-e/1405856235086952/,"17K views · 183 reactions | A federal judge in Massachusetts has POSTPONED a DHS rule that was set to take effect September 15 and would have ended the longstanding “duration of status” framework for international students and certain other visa holders. In issuing the order, the court described DHS’s justification as “exceptionally weak” and raised serious concerns about the potentially catastrophic impact of the rule on higher education and the U.S. economy. For now, duration of status remains in effect. Nothing changes on September 15. The lawsuit will continue, and DHS may still appeal. We will continue monitoring the case and provide updates as they develop. Need immigration assistance ? Need immigration assistance? Give us a call 📱 Bethel Law Group ⚖️ Nationwide Representation 🌍 Personalized Approach Reliable Updates. Clear Guidance 📲 : 508.439.4445 📧: connect@bethellawgroup.com | Bethel Law Group","The DHS rule to end duration of status was supposed to take effect on September 15, 2026.","that was supposed to happen tomorrow, September 15th.",0:00:47,fact,legal_status,fixed admission periods,4,Supported,both,"The timeline states the final rule was published on 2026-07-17 with an effective date of 2026-09-15. Passage [4] from the final rule explicitly confirms the effective date as September 15, 2026. However, the timeline also notes that on 2026-09-14, a federal court postponed the final rule before it took effect, meaning the rule did not actually take effect on September 15, 2026. The source quote from 2026-09-14 saying the rule was ""supposed to happen tomorrow, September 15th"" aligns with the scheduled effective date but does not reflect the postponement that occurred that day. Thus, the claim about the rule being ""supposed to take effect on September 15, 2026"" is directly confirmed by the final rule text and timeline, but the actual implementation was postponed on the source's publish date.",True,yes,True,0.95,3/3,"v2 | DATES: | 91 FR 44976 | This rule has been classified as a major rule subject to congressional review. The effective date is September 15, 2026. However, at the conclusion of the congressional review, if the effective date has been changed, DHS will publish a document in the Federal Register to establish the actual effecti",https://www.federalregister.gov/citation/91-FR-44976,0.776,Supported,False,gpt-4.1-mini
video,Bethel Law Group,2026-09-14,https://www.facebook.com/BethelLawImm/videos/a-federal-judge-in-massachusetts-has-postponed-a-dhs-rule-that-was-set-to-take-e/1405856235086952/,"17K views · 183 reactions | A federal judge in Massachusetts has POSTPONED a DHS rule that was set to take effect September 15 and would have ended the longstanding “duration of status” framework for international students and certain other visa holders. In issuing the order, the court described DHS’s justification as “exceptionally weak” and raised serious concerns about the potentially catastrophic impact of the rule on higher education and the U.S. economy. For now, duration of status remains in effect. Nothing changes on September 15. The lawsuit will continue, and DHS may still appeal. We will continue monitoring the case and provide updates as they develop. Need immigration assistance ? Need immigration assistance? Give us a call 📱 Bethel Law Group ⚖️ Nationwide Representation 🌍 Personalized Approach Reliable Updates. Clear Guidance 📲 : 508.439.4445 📧: connect@bethellawgroup.com | Bethel Law Group","The federal judge's order means that the duration of status framework remains in effect and the new DHS rule will not take effect on September 15, 2026, while the lawsuit continues.","a federal judge has stopped that rule from taking effect tomorrow. This means that while the lawsuit continues, we are still operating under the old framework, the old policy. Duration of status is still alive.",0:00:50,fact,legal_status,fixed admission periods,5,Supported,timeline,"The timeline entry for 2026-09-14 states that a federal court in Massachusetts postponed the final rule before its effective date of September 15, 2026, while the lawsuit continues. This directly supports the claim that the duration of status framework remains in effect and the new DHS rule will not take effect on September 15, 2026, during the ongoing lawsuit. The final rule text (v2) confirms the effective date as September 15, 2026, but the timeline supersedes this by noting the court's postponement. Thus, the claim is directly confirmed by the timeline and consistent with the final rule's intended effective date, which is delayed by the court order.",True,yes,False,0.95,3/3,"v2 | DATES: | 91 FR 44976 | This rule has been classified as a major rule subject to congressional review. The effective date is September 15, 2026. However, at the conclusion of the congressional review, if the effective date has been changed, DHS will publish a document in the Federal Register to establish the actual effecti",https://www.federalregister.gov/citation/91-FR-44976,0.766,Supported,False,gpt-4.1-mini
video,Bethel Law Group,2026-09-14,https://www.facebook.com/BethelLawImm/videos/a-federal-judge-in-massachusetts-has-postponed-a-dhs-rule-that-was-set-to-take-e/1405856235086952/,"17K views · 183 reactions | A federal judge in Massachusetts has POSTPONED a DHS rule that was set to take effect September 15 and would have ended the longstanding “duration of status” framework for international students and certain other visa holders. In issuing the order, the court described DHS’s justification as “exceptionally weak” and raised serious concerns about the potentially catastrophic impact of the rule on higher education and the U.S. economy. For now, duration of status remains in effect. Nothing changes on September 15. The lawsuit will continue, and DHS may still appeal. We will continue monitoring the case and provide updates as they develop. Need immigration assistance ? Need immigration assistance? Give us a call 📱 Bethel Law Group ⚖️ Nationwide Representation 🌍 Personalized Approach Reliable Updates. Clear Guidance 📲 : 508.439.4445 📧: connect@bethellawgroup.com | Bethel Law Group","The judge's order has paused the implementation of the new DHS rule as of September 15, 2026, but the rule has not been permanently removed.",this does not mean that the rule has gone away completely. All this means is that the judge has stopped this rule from taking effect tomorrow while the court case continues.,0:01:14,fact,legal_status,fixed admission periods,6,Supported,timeline,"The timeline states that on 2026-09-14, a federal court postponed the final rule before its effective date of 2026-09-15, pausing implementation while the lawsuit continues. The quoted source explicitly says the rule has not gone away completely, only that the judge stopped it from taking effect temporarily. The final rule text (v2) confirms the effective date was set for 2026-09-15 but does not mention permanent removal. Thus, the claim that the judge's order paused implementation as of September 15, 2026, without permanently removing the rule is directly supported by the timeline and source quote.",True,yes,False,1.0,3/3,,,0.699,Supported,False,gpt-4.1-mini
video,Bethel Law Group,2026-09-14,https://www.facebook.com/BethelLawImm/videos/a-federal-judge-in-massachusetts-has-postponed-a-dhs-rule-that-was-set-to-take-e/1405856235086952/,"17K views · 183 reactions | A federal judge in Massachusetts has POSTPONED a DHS rule that was set to take effect September 15 and would have ended the longstanding “duration of status” framework for international students and certain other visa holders. In issuing the order, the court described DHS’s justification as “exceptionally weak” and raised serious concerns about the potentially catastrophic impact of the rule on higher education and the U.S. economy. For now, duration of status remains in effect. Nothing changes on September 15. The lawsuit will continue, and DHS may still appeal. We will continue monitoring the case and provide updates as they develop. Need immigration assistance ? Need immigration assistance? Give us a call 📱 Bethel Law Group ⚖️ Nationwide Representation 🌍 Personalized Approach Reliable Updates. Clear Guidance 📲 : 508.439.4445 📧: connect@bethellawgroup.com | Bethel Law Group",DHS may appeal the judge's order or seek other relief to implement the new rule.,DHS can appeal or seek other relief.,0:01:23,fact,legal_status,fixed admission periods,7,Not in rule text,timeline,"The timeline shows that on 2026-09-14, a federal court postponed the final rule before it took effect, indicating ongoing litigation. However, none of the provided passages from either the proposed or final rule explicitly mention DHS's ability to appeal the judge's order or seek other relief to implement the new rule. The passages discuss severability, legal authority, and responses to comments but do not address DHS's procedural options in court. Therefore, the claim that DHS can appeal or seek other relief is not directly confirmed or refuted by the rule text or timeline.",False,partly,False,0.7,3/3,,,0.721,Not in rule text,False,gpt-4.1-mini
video,Bethel Law Group,2026-09-14,https://www.facebook.com/BethelLawImm/videos/a-federal-judge-in-massachusetts-has-postponed-a-dhs-rule-that-was-set-to-take-e/1405856235086952/,"17K views · 183 reactions | A federal judge in Massachusetts has POSTPONED a DHS rule that was set to take effect September 15 and would have ended the longstanding “duration of status” framework for international students and certain other visa holders. In issuing the order, the court described DHS’s justification as “exceptionally weak” and raised serious concerns about the potentially catastrophic impact of the rule on higher education and the U.S. economy. For now, duration of status remains in effect. Nothing changes on September 15. The lawsuit will continue, and DHS may still appeal. We will continue monitoring the case and provide updates as they develop. Need immigration assistance ? Need immigration assistance? Give us a call 📱 Bethel Law Group ⚖️ Nationwide Representation 🌍 Personalized Approach Reliable Updates. Clear Guidance 📲 : 508.439.4445 📧: connect@bethellawgroup.com | Bethel Law Group",DHS argued that the new rule ending duration of status was necessary for national security reasons and to prevent fraud.,DHS argued that the new rule was necessary for national security reasons and to prevent fraud.,0:01:27,fact,rule_content,fixed admission periods,8,Supported,both,"The proposed rule (passage 1) explicitly states that DHS expects the rule to have benefits for national security and to deter fraud and abuse by providing more opportunities to evaluate compliance. The final rule (passage 4) reiterates DHS's position that the rule addresses fraud, national security concerns, and abuse associated with the duration of status (D/S) framework. The timeline shows the source was published after the final rule but before the rule took effect, and the court postponed the rule's implementation. Thus, the claim that DHS argued the rule was necessary for national security and fraud prevention is directly confirmed by both the proposed and final rule texts and consistent with the timeline at the source's publish date.",True,yes,True,0.95,3/3,"v1 | Benefits | 90 FR 42102 | DHS expects this proposed rule to have qualitative benefits for national security by providing DHS additional opportunities to evaluate whether F, J, and I nonimmigrants are complying with their status requirements, or if they present a national security concern. It would deter fraud and abuse of th || v2 | a. Purpose and Need for Rulemaking | 91 FR 44995 | Response: DHS disagrees with the general premise of these comments. While DHS provided specific examples of fraud, national security concerns, and nonimmigrant students remaining in the United States for lengthy periods of time under the D/S framework, DHS's intent and rationale for this rulemaking ",https://www.federalregister.gov/citation/90-FR-42102,0.715,Supported,False,gpt-4.1-mini
video,Bethel Law Group,2026-09-14,https://www.facebook.com/BethelLawImm/videos/a-federal-judge-in-massachusetts-has-postponed-a-dhs-rule-that-was-set-to-take-e/1405856235086952/,"17K views · 183 reactions | A federal judge in Massachusetts has POSTPONED a DHS rule that was set to take effect September 15 and would have ended the longstanding “duration of status” framework for international students and certain other visa holders. In issuing the order, the court described DHS’s justification as “exceptionally weak” and raised serious concerns about the potentially catastrophic impact of the rule on higher education and the U.S. economy. For now, duration of status remains in effect. Nothing changes on September 15. The lawsuit will continue, and DHS may still appeal. We will continue monitoring the case and provide updates as they develop. Need immigration assistance ? Need immigration assistance? Give us a call 📱 Bethel Law Group ⚖️ Nationwide Representation 🌍 Personalized Approach Reliable Updates. Clear Guidance 📲 : 508.439.4445 📧: connect@bethellawgroup.com | Bethel Law Group",The judge found the Department of Homeland Security's justification for ending duration of status to be exceptionally weak.,The judge found that the Department of Homeland Security's justification was exceptionally weak.,0:01:32,fact,court_case,fixed admission periods,9,Not in rule text,none,"The passages from the final rule (v2) show DHS defending its justification for ending duration of status, explicitly disagreeing with criticisms that the rule lacks national security justification or is arbitrary. The timeline notes a federal court postponed the final rule on 2026-09-14, the source's publish date, but the passages do not include any judge's findings or opinions. Therefore, the claim about a judge finding DHS's justification exceptionally weak is not confirmed or addressed by the rule text or timeline.",False,no,False,0.9,3/3,,,0.639,Not in rule text,False,gpt-4.1-mini
video,Bethel Law Group,2026-09-14,https://www.facebook.com/BethelLawImm/videos/a-federal-judge-in-massachusetts-has-postponed-a-dhs-rule-that-was-set-to-take-e/1405856235086952/,"17K views · 183 reactions | A federal judge in Massachusetts has POSTPONED a DHS rule that was set to take effect September 15 and would have ended the longstanding “duration of status” framework for international students and certain other visa holders. In issuing the order, the court described DHS’s justification as “exceptionally weak” and raised serious concerns about the potentially catastrophic impact of the rule on higher education and the U.S. economy. For now, duration of status remains in effect. Nothing changes on September 15. The lawsuit will continue, and DHS may still appeal. We will continue monitoring the case and provide updates as they develop. Need immigration assistance ? Need immigration assistance? Give us a call 📱 Bethel Law Group ⚖️ Nationwide Representation 🌍 Personalized Approach Reliable Updates. Clear Guidance 📲 : 508.439.4445 📧: connect@bethellawgroup.com | Bethel Law Group",The judge noted that duration of status has been the system in the United States for nearly 50 years.,The judge found that the duration of status had been the system in this country for nearly 50 years.,0:01:36,fact,court_case,fixed admission periods,10,Supported,both,"The passages from both the proposed (v1) and final (v2) rules describe the history of duration of status (D/S) for nonimmigrant students and media representatives, showing that D/S has been in use since the late 1970s and mid-1980s respectively. This supports the judge's finding that D/S has been the system in the U.S. for nearly 50 years, as the source was published in 2026 and the earliest D/S adoption was around 1978-1979, roughly 47-48 years prior. The timeline shows the source was published after the final rule but on the day before the final rule's effective date and the court's postponement, which does not contradict the claim. Thus, the claim is directly addressed and accurate as of the source's publish date, with no changes after that date affecting the claim.",True,yes,False,0.95,3/3,"v1 | iii. I Classification | 90 FR 42076 | From 1973 to 1985, aliens admitted to the United States in I nonimmigrant status were admitted for a period of 1 year with the possibility of extensions. 50 In 1985, legacy INS amended the regulations to allow nonimmigrant foreign information media representatives to be admitted for the duration of  || v1 | i. F Classification | 90 FR 42074 | From 1973 to 1979, F students were admitted for one year and could be granted an EOS in increments of up to 12 months if they established that they were maintaining status. 26 However, on July 26, 1978, given the large number of nonimmigrant students in the United States at the time and the need to  || v2 | 1. F Classification | 91 FR 44980 | From 1973 to 1979, F students were admitted for one year and could be granted an EOS in increments of up to 12 months if they established that they were maintaining status. 27 However, on July 26, 1978, given the large number of nonimmigrant students in the United States at the time and the need to  || v2 | 3. I Classification | 91 FR 44982 | From 1973 to 1985, aliens admitted to the United States in I nonimmigrant status were admitted for a period of 1 year with the possibility of extensions. 51 In 1985, legacy INS amended the regulations to allow nonimmigrant representatives of information media to be admitted for the duration of their",https://www.federalregister.gov/citation/90-FR-42076,0.643,Not in rule text,False,gpt-4.1-mini
