# Candidates from find_videos.py: review, then copy good lines into video_urls.txt
https://www.youtube.com/watch?v=bhfTiZPVdgM 2025-10-10   # GoElite | 375 views | End of Duration of Status? DHS’s New Rule Explained
https://www.youtube.com/watch?v=y-RQskjyaPo 2025-11-06   # WGN News | 64,918 views | BREAKING: Federal judge to issue injunction limiting federal immigrati
https://www.youtube.com/watch?v=1piM3E_bHfY 2025-11-26   # PGurus | 39,064 views | New F-1, J-1 and M-1 Student Visa Rules for US Universities – Is It St
https://www.youtube.com/watch?v=MO-wPYyX8rM 2026-01-28   # Direct U.S. Immigration | 338 views | F1 Students Explained: Duration of Status Rules You Must Know (2025–20
https://www.youtube.com/watch?v=Xc4aU1056oQ 2026-05-12   # Mr. Kelly - Immigration Analyst | 211 views | Warning For Student Visas New Employment Restrictions Affecting F1 Sta
https://www.youtube.com/watch?v=7jOIgLm2CjI 2026-06-02   # Giselle Carson, Esq. | 142 views | Incoming F-1 Visa duration of status changes and others are coming for
https://www.youtube.com/watch?v=058BOwhcCM4 2026-06-18   # Yudi J | 59,189 views | White House Approved F1 Visa Duration of Status Rule (Here's what it m
https://www.youtube.com/watch?v=ttd2nVe0Gwg 2026-06-21   # Jake Tuimaualuga | Immigration Lawyer | 5,884 views | F-1 Students Are About To Lose Their Right to Stay in the US
https://www.youtube.com/watch?v=4KFR99cAECo 2026-06-21   # Berardi Immigration Law | 1,693 views | F-1 Student Visa, I-94, & Unlawful Presence Explained | What It Means 
https://www.youtube.com/watch?v=RZcJFLWk97E 2026-06-23   # Immigration News | 898 views | F-1 Visa Rule Change 2026: DHS Ends Duration of Status? OPT, STEM OPT 
https://www.youtube.com/watch?v=fxQwXtcj9ck 2026-07-15   # Immigration Brief USA | 169 views | F1 Visa Duration of Status Is ENDING Here's What Every International S
https://www.youtube.com/watch?v=vhzQQ6IPZhw 2026-07-16   # Yudi J | 19,966 views | F1 Visa Rules Are Changed - Explained by Lawyer | Duration of Status R
https://www.youtube.com/watch?v=z97McyIc7a4 2026-07-16   # WION | 11,462 views | Foreign Students, Exchange Visitors Face Fixed Visa Limits in the US |
https://www.youtube.com/watch?v=vj9AY9p8qu8 2026-07-16   # Bobby americawala | 2,706 views | Big Change for America Student Visa! New F-1 Rule Explained | July 16,
https://www.youtube.com/watch?v=wKxw6LYMcY0 2026-07-16   # NBT Tech-Ed | 3,772 views | US Student Visa Rules 2026: F-1 Visa Stay Limit, DHS Policy Change & D
https://www.youtube.com/watch?v=LVTdzjyO64k 2026-07-16   # RedBus2US | 11,523 views | DHS Final Rule Ends Duration of Status for F1 Students | Impacts Over 
https://www.youtube.com/watch?v=ZKaRhIogl5s 2026-07-17   # Tsang & Associates, PLC | 19,090 views | New F-1 Visa Rule Explained: What International Students Need to Know
https://www.youtube.com/watch?v=DFJdeS2yl_U 2026-07-17   # Immigration Updates Today | 238 views | BREAKING: New 4-Year Stay Limit for F-1 and J-1 Visa Holders — Who Is 
https://www.youtube.com/watch?v=XC3CXTSlYjI 2026-07-17   # Arirang News | 1,660 views | Trump administration's new student visa rules to affect more than 1.2 
https://www.youtube.com/watch?v=cQoe_1Z9QAY 2026-07-17   # NBT Tech-Ed | 2,842 views | US Student Visa Rule 2026: F-1 4-Year Limit, D/S Ends Sept 15 & USCIS 
https://www.youtube.com/watch?v=oeXe_PE-0-k 2026-07-17   # Yudi J | 142,760 views | Trump Just Ended F1 Visa D/S Rule - How This Impacts You (OPT, STEM OP
https://www.youtube.com/watch?v=Rh7hWi8l-G4 2026-07-17   # Yash Mittra - YMGrad | 19,074 views | Biggest F-1 Visa Change - Final Rule - New Students, OPT/STEM Students
https://www.youtube.com/watch?v=xCmL1CmOEtY 2026-07-17   # NewsX World | 191 views | US Ends Duration of Status Rule, Tightens Student and Journalist Visa 
https://www.youtube.com/watch?v=3wy9z2SP75w 2026-07-17   # Samarth Aursang | 1,828 views | New F-1 Visa Changes 2026 Explained | D/S Ends | What Students Need to
https://www.youtube.com/watch?v=ngho_fS0ZSk 2026-07-18   # Gradvine | 13,929 views | The New F1 Visa Rule Everyone's Panicking About - Here's What Actually
https://www.youtube.com/watch?v=ZSiNweoC5cE 2026-07-19   # Yash Mittra - YMGrad | 5,933 views | How F-1 Visa Students Must Protect Their Status (New 4-Year Rule)
