start,end,text
0.5,4.5,Big update for international students and exchange visitors.
4.5,9.5,"The new DHS rule ending duration of status has been blacked nationwide, at least for now."
9.5,14.5,"The rule was supposed to take effect on September 15, 2026 today."
14.5,24.5,"It would have replaced DS with fixed admission periods for F-1 students, J-1 exchange visitors, and I visa holders, representatives of foreign media."
24.5,32.5,"Under that rule, many individuals needing additional time would have been required to file an extension of status with USCIS."
32.5,39.5,It also included new restrictions affecting school transfers and changes in academic programs.
39.5,51.5,"But on September 14, a federal judge issued nationwide preliminary relief, stopping DHS and ICE from implementing the rule while the lawsuit continues."
51.5,59.5,"So what does this mean for you? For now, the existing duration of status system remains in place."
59.5,68.5,"If your I-94 says DS, you may generally remain in the U.S. for the duration of your authorized program or assignment,"
68.5,74.5,provided you continue following all applicable rules and maintain your status.
74.5,80.5,"But remember, DS does not mean you can remain indefinitely."
80.5,84.5,F-1 students must maintain their studies and service record.
84.5,88.5,J-1 visitors must comply with the exchange program.
88.5,96.5,"Unauthorized employment, failure to attend school, or other violations may still result in loss of status."
96.5,98.5,And this legal battle is not over.
98.5,102.5,"The government may appeal, and the rules could change again."
102.5,106.5,"The bottom line, the fixed period rule is currently black."
106.5,116.5,"DS remains in effect, and affected individuals should continue maintaining status and closely monitoring future developments."
116.5,122.5,"I'm attorney FJ Disa, partner at Reeves Immigration Law Group."
122.5,128.5,Follow for a timely and practical U.S. immigration update and share this reel to help others.
