start,end,text
0.3,7.3,"Imagine arriving in the United States as an international student, ready to pursue your educational dreams."
8.3,14.3,"On July 17, 2026, the Department of Homeland Security announced a major change,"
14.3,20.3,"removing duration of status, or D-slash-S, for F-1 and J-1 visa holders."
21.3,31.3,"Starting September 15, 2026, instead of being admitted for the length of your program, you'll be admitted for a fixed period of time."
32.3,37.3,This shift brings new responsibilities and important deadlines for your immigration status.
38.3,48.3,"Keeping your documents valid has never been more critical. Your Form I-20, I-94 record, and passport must remain up to date throughout your studies."
49.3,55.3,The days of simply having D-slash-S are over. You now need to pay attention to specific dates.
56.3,66.3,"First, if you need extra time to complete your degree, request a program extension before your I-20 expires. It's essential to start early."
67.3,79.3,"Contact your international student advisor, ideally at least 180 days before your I-20 program end date or your admit until date, to discuss your options or to apply for an extension of stay."
80.3,90.3,"Second, regularly monitor your admit until date, which is listed on your I-94 record. This date marks the last day you are permitted to stay in the U.S."
91.3,99.3,"Keep a calendar reminder, check your I-94 often, and speak with your advisor well in advance if an extension might be needed."
100.3,114.3,"Third, the new rule restricts changing your program of study. Undergraduate students cannot change their major during their first year, unless granted an exception. Graduate students cannot change their major at any point."
115.3,128.3,"Changing to another program at either the same or a lower degree level is also prohibited. If you're considering any change in major, degree level, or institution, always consult your international student advisor first."
129.3,148.3,"Fourth, there are important changes to the grace period, the designated departure period following program completion. Most F-1 students will now have only 30 days down from 60 to either depart the country, transfer to another school, start a new program, or obtain another status."
149.3,153.3,Confirm your grace period with your advisor to avoid surprises.
154.3,164.3,"Fifth, if you receive authorization to withdraw from classes, you typically have 15 days from the withdrawal date to leave the United States. Planning ahead is crucial."
165.3,180.3,"Finally, remember to safeguard your immigration status proactively, keep all documents valid, monitor your timelines, and reach out to international student services whenever you have questions or concerns about your I-20, I-94."
180.3,184.3,"Admit until date, program extensions, or travel."
185.3,192.3,"For in-depth guidance, explore resources at Study in the States and the California State University Long Beach website."
193.3,202.3,"By staying informed and in touch with your advisors, you can navigate these changes confidently, ensuring your academic journey remains smooth and secure."
