start,end,text
0.0,5.7,"If you are on an F-1 or J-1 visa, or you are planning to study or work in the United States,"
5.7,9.3,the rule you have relied on for the last 30 years just disappeared.
9.3,13.9,"And most students still have no idea what replaces it. Starting September 15th,"
13.9,19.2,"2026, the government is no longer going to let you stay in the US simply because you are still in"
19.2,23.8,"school. You are now going to get a hard, fixed expiration date stamped on your immigration"
23.8,28.4,"record. And if you miss it, you could be out of status without even realizing it happened."
28.4,32.9,"Stick with me for the next few minutes, because I am going to break down exactly what changed,"
32.9,38.2,"who it affects, what the new expiration date actually means for your OPT, your STEM extension,"
38.2,43.0,"your grace period, and the one mistake that could get thousands of students sent home this year."
43.0,48.4,"This is Visa Guide USA. And if you are new here, this channel exists to translate confusing"
48.4,53.3,immigration policy in a plain English before it costs you your status. Let's get into it.
53.3,58.7,"For more than three decades, F, one students in J, one exchange visitors were admitted into"
58.7,63.6,"the United States under something called duration of status, or D slash S for short."
63.6,69.0,"If you have ever looked at your eye, 94 record and seen the letters D slash S instead of an"
69.0,73.4,"actual date, that is what this is. It meant you were authorized to stay in the country for"
73.4,78.2,"as long as you were enrolled in your program and following the rules, whether that was two years,"
78.2,84.1,"for years, or even longer with a PhD, no countdown clock, no expiration date staring at you."
84.1,88.6,"As long as your school said you were in good standing, you were fine. That entire system"
88.6,93.2,just got dismantled. The Department of Homeland Security published a final rule in the Federal
93.2,99.0,"Register in the middle of July 2026. And it officially eliminates duration of status for F,"
99.0,105.6,"J, and I visa holders. That is F one students, J one exchange visitors and scholars, and I visa"
105.6,110.3,"holders, which covers foreign media representatives, along with all of their dependents."
110.3,116.6,"The rule takes effect on September 15th, 2026. And it applies to an enormous number of people."
116.6,120.4,"We are talking about roughly 2 million admissions a year in these categories,"
120.4,124.3,with more than a million of those being F one academic students alone.
124.3,129.0,"So here's what actually changes. Instead of that open ended D slash S notation,"
129.0,133.2,you are now going to be admitted for a fixed period tied directly to your program.
133.2,137.6,"For F one students, that means you get admitted up to the length of the program listed on your"
137.6,143.3,"form, I 20, but it cannot exceed four years, even if your actual program runs longer. On top"
143.3,147.8,"of that program length, you get a grace period for departure. And this is where it gets painful"
147.8,152.2,"for a lot of people, because your post completion grace period, the cushion you get after you"
152.2,157.4,"finish your degree to either leave the country, transfer schools, or start something like OPT is"
157.4,163.8,being cut from 60 days down to just 30 days for F one students. J one exchange visitors already had
163.8,168.9,a 30 day grace period. And that one is not changing. But everyone is now operating on a
168.9,173.2,much tighter runway than before. Now here's the part that catches people off guard.
173.2,177.8,"If you are already in the United States right now under D slash S, you are not immediately"
177.8,182.7,"thrown into the new system. The second the clock strikes September 15th, there are transition"
182.7,186.9,"provisions. If you were properly maintaining your status before the effective date,"
186.9,192.1,"you generally get to remain until the later of two things, either the expiration date on a valid"
192.1,197.7,"employment authorization document, if you have one or the program in date listed on your current I 20"
197.7,203.8,"or DS 2019. But in this is critical, that transition period cannot stretch beyond four"
203.8,208.5,"years from the effective date, plus whatever departure period applies. So even the most"
208.5,212.7,generous version of this transition has a ceiling. But here is the trap that almost
212.7,217.1,nobody is talking about clearly enough. The moment you leave the United States and try to
217.1,223.3,"come back in on or after September 15th, 2026, all of that grandfathering disappears."
223.3,228.3,You do not get to keep your old D slash status. You are readmitted under the brand new fixed
228.3,233.3,period rules immediately with the new shorter grace period attached. So if you are a student
233.3,238.7,"who was planning a trip home for a wedding, a family emergency, a holiday, anything, the timing"
238.7,243.8,of that trip now has real legal consequences. It never had before travel internationally after
243.8,248.5,"this date, and you reset into a completely different system. The second you land back"
248.5,253.9,"on us soil, this also affects people who are already deep into their post-graduation journey."
253.9,259.3,"If you are on OPT or a STEM OPT extension right now, or if you are a J one scholar doing"
259.3,264.1,"academic training, those activities used to be treated as a continuation of your lawful D"
264.1,269.8,"slash status, no separate extension application needed with USCIS. Under the new fixed period"
269.8,275.1,"system, that kind of quiet automatic continuation is going away. Your authorization is now going"
275.1,280.4,"to be locked to specific dates. And if your work authorization runs past your new admit until date,"
280.4,285.4,"you may need to actively file an extension of stay with USCIS just to stay legal, something"
285.4,289.4,that used to happen without you lifting a finger. There is another change buried in here
289.4,294.9,that could affect your academic plans directly. The rule introduces a new concept called educational
294.9,299.9,objectives. And it restricts F one students who have already completed a degree at a certain level
299.9,305.1,from enrolling in another program at that same level or a lower level going forward. If you
305.1,310.2,"have finished a degree, your next move generally has to be upward into a higher level program,"
310.2,315.4,not sideways or backward. That is a significant shift for anyone who was planning to pick up
315.4,320.3,a second bachelors or a lower level certificate program after finishing their current one. And I
320.3,324.9,want to be clear about something because there is a lot of uncertainty floating around right now.
324.9,329.8,This rule is not fully locked in without a fight. A federal lawsuit has already been filed
329.8,334.5,"trying to block it. And as of early September, there was a preliminary injunction hearing in"
334.5,339.0,front of a federal judge with no ruling issued yet at the time this rule was scheduled to take
339.0,344.0,effect. It is also subject to congressional review as a major rule. So there is a real
344.0,348.9,"possibility that between litigation and legislative review, some part of this could still shift,"
348.9,354.7,"get delayed, or get modified. That is exactly why you cannot just watch one video and assume you"
354.7,359.2,know your status forever. This is a moving target. And you need to be checking your school's
359.2,364.6,international student office and USCIS directly for updates specific to your situation. So what
364.6,369.6,should you actually do right now if you're an F one or J one holder? First log into your SEVIS
369.6,374.5,"record and know exactly what your program end date says, because that date just became far more"
374.5,379.1,"important than it used to be. Second, if you were thinking about international travel anytime soon,"
379.1,384.1,understand that returning after September 15 puts you under the new rules immediately.
384.1,390.1,"So plan that trip with your eyes open. Third, if you are on OPT, STEM OPT, or academic training,"
390.1,394.2,start a conversation with your international student office now about whether you will need
394.2,398.7,to file an extension of stay before your new fixed period runs out. This is not something
398.7,403.0,to figure out after the fact. If this video helped you make sense of what is honestly one
403.0,408.5,"of the most confusing visa changes in years, do me a favor and hit subscribe. Because Visa"
408.5,413.9,"Guide USA is going to be tracking every twist in this lawsuit, every update from USCIS,"
413.9,418.8,and every practical deadline you need to know about as this rule actually plays out. Drop
418.8,425.4,"a comment and tell me what visa category you are in F one, J one, or something else entirely,"
425.4,429.4,because I am building out follow up videos based on exactly what you all are dealing with right
429.4,431.4,now. I will see you in the next one.
