start,end,text
0.0,5.0,"Jill, how much do we know about this new rule? How clear are we?"
5.0,10.5,"Hey, morning, Haslinda. So at this point, this is actually a fairly significant change. As"
10.5,15.0,"you just outlined, under the current rules for these F&J visas, I will point out there's"
15.0,19.8,about 1.5 million students that are in the United States on these types of visas. They're
19.8,24.6,allowed to stay sort of as long as their studies last. It's very different from other forms
24.6,29.4,of non-immigrant visas in the United States. And so as long as they're enrolled in sort
29.4,34.1,"of the minimum number of credits that they need at these universities, they can stay. Under"
34.1,39.2,"this new rule, though, as you just mentioned, this imposes a four-year limit. Before then,"
39.2,43.0,"if they need to stay in the United States for longer to continue their studies, they"
43.0,49.6,"actually have to go and seek more duration of time. They have to seek an extension,"
49.6,54.0,"provide some biometric data, and basically, it's sort of handled this in a way where"
54.0,57.7,"previously maybe their universities would have helped coordinate this. But again,"
57.7,63.1,"this doesn't pose a pretty significant barrier here. So very, very, very different change."
63.1,67.1,"It's a different change. Who is it likely to hit the worst? I mean, we know that lots"
67.1,74.3,"of Chinese and Indian students in the US. Yes, exactly right. So I would expect this"
74.3,82.0,"to be looking at China, South Korea, India, as you mentioned, those students that are from"
82.0,86.4,"these nations where there are a lot of them in the United States. I mean, look, Miss"
86.4,91.2,"India, there's already been a fair amount of tightening going on over visa restrictions"
91.2,96.3,"for people coming into the United States to study, and in other capacities. We actually"
96.3,103.3,"saw last year a 1.4% drop in the overall number of foreign students enrolled in universities,"
103.3,108.2,"including a 17% drop in the number of incoming students. So I mean, you're looking at a"
108.2,113.5,pretty significant number there. And that's in addition to various other forms of either
113.5,117.6,"visa scrutiny restrictions that are kind of going on here, there's been, you know, some"
117.6,121.9,delays in terms of applications. And so all of that is kind of contributing to this environment
121.9,127.0,"where you are seeing a pretty significant number, a smaller number of students that"
127.0,131.5,"are actually coming into the United States to study. And in the end, Jill, you can"
131.5,137.0,only imagine that fewer and fewer international students would find the US an attractive place
137.0,141.5,"to go to school. Yeah, I mean, this is something that, you know, we've been seeing"
141.5,146.2,"for a few years now. Obviously, the United States under the Trump administration has"
146.2,151.3,taken a much stricter approach to immigration policy. So we are seeing that sort of manifest
151.3,157.0,"in various forms, obviously, you know, that sort of extends to a broader approach toward"
157.0,160.4,"immigration enforcement that the Trump administration is looking at. But yes, I mean, student"
160.4,164.7,"visas is obviously a significant part of that. So it does raise questions about, you"
164.7,171.4,"know, sort of the ability of a lot of these, you know, major universities to attract foreign"
171.4,176.0,students who are paying quite high tuition fees when they visit. To some fraud investigations
176.0,182.3,"as well, right? Yes, that's right. So there is a program, the OTP program, that's one"
182.3,186.2,"that's, you know, under, you know, sort of investigation for fraud. And so again, does"
186.2,190.7,raise the possibility that while you do have these new visa restrictions that are being
190.7,195.0,"instituted on those applications right now, does raise that question of whether or not"
195.0,199.2,there's going to be further tightening on the types of visas that students earn in programs
199.2,202.0,that students can achieve in the future in the United States.
