start,end,text
0.0,6.6,"Hi everyone. On September 10th, the US made a move and DHS proposed the rule that could completely"
6.6,12.8,"change how long F-1 students are allowed to stay in the United States. And now, international students"
12.8,18.2,"are staring down the biggest challenge they are facing in years. For decades, students have been"
18.2,24.1,"admitted for what's called duration of status, meaning there's no fixed end date as long as they"
24.1,29.9,stay enrolled and in status. That flexibility is why students can finish a bachelor's degree
30.0,36.0,"move on to a master's, even pursue a second master's and a PhD, all without a constant fear"
36.0,42.6,"of their visa expiring. But until this proposal, that freedom goes away. Instead of open-ended status,"
42.6,49.0,students would face strict caps for years at most and for many just two years. Imagine
49.5,54.4,starting a two-year master's degree and only being admitted for two years. If you need even one
54.4,61.0,"extra semester, you'll have to file an extension with USCIS, pay new fees, go through biometrics,"
61.0,67.0,"and wait for them to decide if you can stay. Even PhD students, whose research often takes five or"
67.0,73.6,"six years, would only get four years up front. Then, be forced to apply for more time. The grace"
73.6,79.7,"period after graduation, which is currently 60 days, would be cut in half to 30. English"
79.7,87.5,language programs would be limited to 24 months and depends on F2 visa would be locked into the
87.5,93.9,"exact same timeline as the student. This isn't just a matter of paperwork. It adds more uncertainty,"
94.5,102.1,"more cost, and more reliance on USCIS. Students who want to change majors or transfer mid-programs"
102.1,108.2,"might need to file with USCIS. Instead of working with this, students will need to plan"
108.2,114.4,much earlier and be prepared for interruptions. DHS says this is about security and fighting
114.4,121.0,"fraud, but many worry it strips universities of the flexibility they had had, pushes power"
121.0,127.8,"into an overburdened integration system, and leaves students stuck in limbo. Those in longer"
127.8,134.2,"programs like PhDs, student needs, extra time, and families on dependent visas are the ones"
134.2,140.1,"most at risk. If you are an international student, the key right now is to plan ahead,"
140.1,147.8,"talk to your DSO, know your timeline, and prepare documentation early. September 28th was the last"
147.8,154.9,day to submit comments on regulations.gov to push back on the proposal and try to shape it in
154.9,160.4,"favor of student. The results are not out yet, but you can still continue with your admission"
160.4,166.4,"process for a second master's and practical training until January 26th, and just in case"
166.4,172.4,"the rule passes, again second master's nothing will affect students who are already enrolled."
172.4,178.2,"At the end of the day, students still come to the US, but the rule makes studying here"
178.2,184.4,"harder, more stressful, and much more expensive. International students don't just attend classes,"
184.4,189.8,"they contribute billions to the economy, create startups, and fewer innovations."
189.8,195.4,"Taking that away risks losing talent, growth, and opportunity for everyone. So now the real"
195.4,200.9,"question, will these changes go through and reshape the future of international education"
200.9,207.6,"in the US, or will student voice and public pushback post DHS do rethink? Either way,"
207.6,212.6,"the clock is ticking, and every international student needs to stay alert, stay prepared,"
212.6,217.6,"and stay ready, because what happens next could decide not just your studies,"
217.6,223.0,"but your future in America. So for more such details, make sure you follow,"
223.0,227.3,"drop a comment with your thoughts, and don't forget to subscribe our channel"
227.3,230.2,for all the latest updates. Thank you.
