start,end,text
0.0,5.8,The Trump administration has announced new rules for people in the United States on student visas
5.8,11.7,"that begin September 15, which is to say after the start of the academic year. So this should mean"
11.7,16.6,that all students in the United States for this academic year who have arrived obviously before
16.6,22.8,"September 15 should be unaffected by the new rules, right? Wrong. I'm attorney Louis Haskell and I'd"
22.8,29.3,like to explain today how the new rules on student visas affect students who are already
29.3,34.6,in the United States. And it goes well beyond the fact that if you leave and come back you're
34.6,40.1,subject to the new rules. The people who are here and do not leave are still subject to the new
40.1,47.7,rules. The basic change that kind of underlines everything that's happening here is that whereas
47.7,56.0,or historically a student receiving a student visa who comes into United States gets to stay for
56.1,61.0,"what's called the duration of studies. So if somebody comes here to go into, I don't know,"
61.0,68.7,"a language program and transfers into a university program and transfers into a graduate program,"
68.7,73.4,"if they never leave the country, they never need to have any more contact with the federal"
73.4,78.7,government over their status. They remain in student status for as long as they remain
78.7,85.1,"students. That was the rule. That is no longer the rule. Now, when you come to the United States,"
85.1,91.2,"the duration of your status is the length of your program or four years, whichever is less."
92.0,99.0,"Now, what does that mean to people who are here? Let's say you are a rising senior in a four-year"
99.0,104.1,"university. The good news is you get four years to complete your bachelor's degree, even though"
104.1,110.0,"you only need one. So, you know, if it turns out that your four-year program has become a five-year"
110.0,115.6,"program, no problems for you yet. However, what happens if you want to go to graduate school?"
115.6,121.2,"That's a different program. So even though you could graduate, go to graduate school,"
121.2,126.5,"graduate in two or three years and be within the four years, it doesn't work that way. When"
126.5,134.2,"you graduate, your status ends and you have to petition to extend your student status"
134.2,141.0,if you want to go to graduate school. And that takes effect September 15. There is no grace there.
141.0,145.9,"I mention the lack of grace because for a subject very dear to my heart, which is optional"
145.9,151.4,"practical training or the OPT program, and it's dear to my heart because actually higher OPTs,"
151.4,159.8,there is some grace. The old rules will remain in effect until March 18 of 2027. So for those of
159.8,165.0,"you who are in the last year of your program and think you're going to want to do OPT afterwards,"
165.0,169.5,"you need to make sure that you get all your paperwork in, all your I's dotted T's crossed,"
169.5,175.6,"and everything filed before, and I would say as much before as possible, on March 18 as you can."
175.6,182.2,"Because after March 18, unless there's another grace period, you're going to need to file for"
182.2,189.0,"an extension in order to do OPT. Now, you may be thinking OPT is part of your program,"
189.0,193.2,"and so therefore, if you have four years to complete your program, you should be able to"
193.2,198.8,"do your one year of school plus your OPT, no problem. But USCIS and the Trump administration"
198.8,206.1,"do not see it that way. OPT is separate and apart. Now, I foresee a lot of problems here because"
206.1,212.3,"we're kind of in uncharted territory. As a general rule, nobody has ever needed to extend"
212.3,219.6,"an F visa before because as long as you're in status, you're a student, you're in student status."
219.6,227.1,"But we do know that to extend from or to change from an F to other things, USCIS is reporting now"
227.1,233.0,that it's taking them eight to 10 months to do that. USCIS is about to get a rush of visa
233.0,238.5,extensions that they've never seen before for student visas. So I do not anticipate these
238.5,245.3,"weights getting shorter, only longer. And so what that means is if you want to go to graduate"
245.3,250.3,"school, if you want to change your program in any way, you really need to get your paperwork"
250.3,257.9,"in ASAP because I think in the real world, there are going to be serious problems with USCIS"
257.9,264.6,"processing these things on time. And what happens if you've applied to a graduate school,"
264.6,269.9,"you've been accepted to graduate school, but USCIS has not given you permission to go to graduate"
269.9,275.4,school. And I think the answer is you can't go to graduate school. We'll see when USCIS is
275.4,280.5,"dealing with this problem again in real life, but I do have terrible fears about that. And"
280.5,285.6,"under the new rule, once you could fall out of status, I mean, once your studies end,"
285.6,290.4,you only have 30 days to leave the country and then you are accruing unlawful presence
290.4,296.2,and are completely out of status and thus cannot extend or just do so many other things.
296.2,303.0,"And I see that being a problem going forward in the OPT program as well, because the only"
303.5,311.4,real reason to require that people extend in order to do OPT is so that USCIS can scrutinize
311.4,317.5,"the OPT program, which means that if you don't have a job lined up, I do foresee possibility"
317.5,322.9,of extension rejections simply because USCIS cannot form an opinion as to whether or not
322.9,328.5,"the optional practical training really is related to your degree. And so, you know, I would urge"
328.5,334.3,"people who think that they're going to be doing OPT next summer to get the paperwork in timely,"
334.3,341.5,but I'd also be urging people to be lining up their OPT jobs sooner than they normally would.
341.5,347.1,"And in fact, for next year, for example, assuming that they have to extend, you know,"
347.1,351.8,"that the new rules apply to them, you know, I'd be telling people to try to line up their OPT"
351.8,357.0,"positions, not at the end of their academic year, but at the beginning, so they can be part of"
357.0,363.6,"their application to extend. So as I say, we're in a strange new world and a lot of what's"
363.6,370.5,"going to happen is still unknown. Again, all we have are posted final rules, which themselves,"
370.5,375.6,"I'm sure will be subject to court challenge and whatnot. But again, how these rules are really"
375.6,381.5,"going to work when they meet, you know, real situations. And again, the one that I don't"
381.5,387.0,think is well enough thought out is just that these extensions take time. Since that's not
387.0,391.8,"well understood yet, we will be monitoring this. We will be following this. I'm sure I'll be"
391.8,397.3,"posting updates. So please, you know, subscribe to my channel so that you will get those."
397.3,402.1,"And in the future, if you have any difficulties, you have any need for assistance, please don't"
402.1,410.8,"hesitate to contact us at 978-459-8359 and know that if you're here, you have come to the right place."
