source_type,url,video_id,title,uploader,upload_date,duration_sec,language,n_segments,text_chars,text,transcript_file,segments_file,whisper_model,transcribed_at,platform,published_date,date_source,date_missing,milestone_window,view_count,like_count,comment_count
video,https://www.facebook.com/BethelLawImm/videos/a-federal-judge-in-massachusetts-has-postponed-a-dhs-rule-that-was-set-to-take-e/1405856235086952/,1405856235086952,"17K views · 183 reactions | A federal judge in Massachusetts has POSTPONED a DHS rule that was set to take effect September 15 and would have ended the longstanding “duration of status” framework for international students and certain other visa holders. In issuing the order, the court described DHS’s justification as “exceptionally weak” and raised serious concerns about the potentially catastrophic impact of the rule on higher education and the U.S. economy. For now, duration of status remains in effect. Nothing changes on September 15. The lawsuit will continue, and DHS may still appeal. We will continue monitoring the case and provide updates as they develop. Need immigration assistance ? Need immigration assistance? Give us a call 📱 Bethel Law Group ⚖️ Nationwide Representation 🌍 Personalized Approach Reliable Updates. Clear Guidance 📲 : 508.439.4445 📧: connect@bethellawgroup.com | Bethel Law Group",Bethel Law Group,2026-09-14,129.3,en,30,2683,"Another day, another court ruling. International students, this one's for you. Let's talk. Hi there, my name is attorney Rhoda Adjutman-Fram Pong, immigration attorney at Bethel Law, and a few moments ago, a federal judge in Massachusetts postponed a rule that was supposed to take effect tomorrow. This rule by DHS was supposed to end duration of status for international students and other visa holders. As you may know, the Department of Homeland Security a few months ago indicated that they had plans to end the long-standing policy of duration of status for international students and other visa holders. Duration of status means that rather than having a specific date by which you had to leave the United States, individuals like students were allowed to stay in the United States as long as they were maintaining lawful status, meaning they were enrolled in school full-time and weren't violating any other immigration laws. Now, this had been the policy for years and the Department of Homeland Security was seeking to change that, and that was supposed to happen tomorrow, September 15th. Well, a federal judge has stopped that rule from taking effect tomorrow. This means that while the lawsuit continues, we are still operating under the old framework, the old policy. Duration of status is still alive. We're still on standby for DHS and USCIS to let us know how the court's order affects new forms and instructions, but for now, the September 15th implementation of this new rule has stopped for now. Now, this does not mean that the rule has gone away completely. All this means is that the judge has stopped this rule from taking effect tomorrow while the court case continues. Now, DHS can appeal or seek other relief. The judge had some pretty strong words as to the Department of Homeland Security's reasoning as to why this change was necessary. DHS argued that the new rule was necessary for national security reasons and to prevent fraud. The judge found that the Department of Homeland Security's justification was exceptionally weak. The judge found that the duration of status had been the system in this country for nearly 50 years. The impact of this new rule on higher education and the economy would be, as the judge states, catastrophic. So in short, the rule affecting international students and other visa holders that were supposed to be implemented tomorrow has been postponed. The case is still ongoing. DHS may still appeal, but for now, nothing changes. September 15th is another day. If you have any thoughts or questions, let me know in the comments. And as always, if you or a loved one need any assistance, give my office a call. That's all.",transcripts/1405856235086952.txt,transcripts/1405856235086952_segments.csv,small.en,2026-09-24T12:32:31,,,,,,,,
video,https://www.facebook.com/MavenConsultingServices/videos/usa-visa-changemp4-edited/1402030935241396/,1402030935241396,USA Visa change.mp4. Edited,Maven Consulting Services,,48.32,en,9,765,"The biggest U.S. student visa change of 2026 just got stopped at the last minute. The new four-year F-1 visa rule was supposed to begin on September 15th, but a federal judge has now blocked it nationwide. So what does that mean for you? For now, the existing duration of status system continues. That means international students are not being moved to a fixed four-year stay yet. The reason being, the court has issued a preliminary injunction while the legal case continues. But don't misunderstand this. The rule is not cancelled permanently. It is paused. So if you're planning to study in the U.S., this is a major relief. But the story is not over. Follow Maven Consulting Services as we keep updating this rule as and how there are updates on it. Thank you.",transcripts/1402030935241396.txt,transcripts/1402030935241396_segments.csv,small.en,2026-09-24T17:15:06,Facebook,2026-09-15,upload_date,False,injunction,70.0,,
video,https://www.facebook.com/NovaLawInfo/videos/-breaking-news-for-f-1-students-j-exchange-visitors-i-visa-holdersa-federal-cour/1088712917225108/,1088712917225108,"🚨 BREAKING NEWS FOR F-1 STUDENTS, J EXCHANGE VISITORS & I VISA HOLDERS A federal court in Massachusetts has temporarily blocked DHS from implementing its new rule ending Duration of Status (D/S), which was scheduled to take effect on September 15, 2026. ⚖️ Why did the court block the rule? The challenge was brought under the Administrative Procedure Act (APA), 5 U.S.C. § 706, which authorizes courts to set aside federal agency actions that are “arbitrary, capricious, an abuse of discretion, or otherwise not in accordance with law.” The court found that the plaintiffs are likely to succeed in their challenge, raising concerns about DHS’s cost-benefit analysis, consideration of less burdensome alternatives, responses to significant public comments, and whether DHS adequately connected the rule to its national-security and fraud-prevention goals. 📌 WHAT DOES THIS MEAN? For now, the existing Duration of Status (D/S) system remains in place for F-1 students, J exchange visitors, and I visa holders. The September 15 change is ON HOLD, and the court’s preliminary relief applies nationwide. ⚠️ This is not a final ruling on whether the DHS rule is lawful. The lawsuit is still ongoing. For informational purposes only. This post does not constitute legal advice. #F1Visa #InternationalStudents #ImmigrationLaw #StudentVisa #NovaLawGroup | Nova Law Group",Nova Law Group,,82.233,en,10,1230,"Finally, good news, and a big update for F-1 student, J-Estrange Visitor, and I visa holder. A federal court in Massachusetts has just temporarily blocked DHS from implementing its new rule ending duration status. The rule was supposed to take effect tomorrow, September 15, 2026, but for now, it will not take effect. So what does this mean? It means that if you are in F-1, J-1, or ICE status, the current duration of status system remains in place. And this is important because the court's relief applies nationwide, not just to the schools and organizations that filed the lawsuit. But this is not the final decision. The lawsuit is still ongoing and the court will have to ultimately decide whether the rule is lawful. For now, the judge found that the plaintiffs are likely to succeed in their challenge because DHS may have violated the APA rules. The court raised several concerns, including DHS' cost-benefit analysis, its consideration of less burdensome alternatives, its response to significant public comment, and whether DHS connected the rule to its national security and fraud prevention goal in an appropriate way. So, bottom line, duration status stays in place, and for now, the September 15 change is on hold.",transcripts/1088712917225108.txt,transcripts/1088712917225108_segments.csv,small.en,2026-09-24T17:15:25,Facebook,2026-09-15,upload_date,False,injunction,210.0,,
video,https://www.facebook.com/FjdizaUSImmigrationAttorney/videos/big-update-for-international-students-and-exchange-visitorsthe-dhs-rule-that-wou/1598856874948750/,1598856874948750,"BIG UPDATE for international students and exchange visitors! The DHS rule that would have ended “Duration of Status,” or D/S, has been blocked nationwide—for now. The rule was scheduled to take effect on September 15, 2026. It would have replaced D/S with fixed admission periods for F-1 students, J-1 exchange visitors, and I visa holders representing foreign media. Many individuals needing additional time would have been required to file an extension of status with USCIS. For now, the existing D/S system remains in place. If your I-94 says “D/S,” you may generally remain in the United States for the duration of your authorized program or assignment—as long as you follow all program requirements and properly maintain your status. Remember: D/S does not allow you to remain indefinitely. Unauthorized employment, failure to attend school, or other violations may result in loss of status. The government may appeal, so this situation could change quickly. 📲 Watch and share this reel with someone who may be affected. Please like and subscribe for more timely and practical U.S. immigration updates from Attorney Flomy “FJ” Diza. For general information only. This is not legal advice. Every case is different. #ImmigrationUpdate #F1Visa #J1Visa #StudentVisa #InternationalStudents DurationOfStatus DHS USCIS SEVIS ImmigrationLaw ImmigrationAttorney AttorneyDiza FJDiza | FJ Diza, US Immigration Attorney","FJ Diza, US Immigration Attorney",,129.055,en,20,1752,"Big update for international students and exchange visitors. The new DHS rule ending duration of status has been blacked nationwide, at least for now. The rule was supposed to take effect on September 15, 2026 today. It would have replaced DS with fixed admission periods for F-1 students, J-1 exchange visitors, and I visa holders, representatives of foreign media. Under that rule, many individuals needing additional time would have been required to file an extension of status with USCIS. It also included new restrictions affecting school transfers and changes in academic programs. But on September 14, a federal judge issued nationwide preliminary relief, stopping DHS and ICE from implementing the rule while the lawsuit continues. So what does this mean for you? For now, the existing duration of status system remains in place. If your I-94 says DS, you may generally remain in the U.S. for the duration of your authorized program or assignment, provided you continue following all applicable rules and maintain your status. But remember, DS does not mean you can remain indefinitely. F-1 students must maintain their studies and service record. J-1 visitors must comply with the exchange program. Unauthorized employment, failure to attend school, or other violations may still result in loss of status. And this legal battle is not over. The government may appeal, and the rules could change again. The bottom line, the fixed period rule is currently black. DS remains in effect, and affected individuals should continue maintaining status and closely monitoring future developments. I'm attorney FJ Disa, partner at Reeves Immigration Law Group. Follow for a timely and practical U.S. immigration update and share this reel to help others.",transcripts/1598856874948750.txt,transcripts/1598856874948750_segments.csv,small.en,2026-09-24T17:15:56,Facebook,2026-09-15,upload_date,False,injunction,1188.0,21.0,
video,https://www.facebook.com/gautham.kolluri/videos/%EF%B8%8F-major-us-immigration-changes-could-affect-thousands-of-foreign-workers-and-int/1082728481141518/,1082728481141518,"⚠️ Major U.S. immigration changes could affect thousands of foreign workers and international students. A new DHS proposal could eliminate the up-to-60-day grace period for workers in several employment-based visa categories, including H-1B, L-1, O-1, TN, E-1, E-2, E-3 and H-1B1, along with their dependents. If finalized as proposed, workers who lose their qualifying employment could begin failing to maintain their immigration status as soon as the next day, unless they have another authorization to remain in the U.S. Meanwhile, a separate rule affecting F-1 students and J-1 exchange visitors is scheduled to take effect on September 15, potentially ending “Duration of Status” (D/S) and replacing it with fixed periods of admission. 📌 Important: These developments are still subject to change. The 60-day grace period remains in place for now. #USImmigration #H1B #InternationalStudents #F1Visa #J1Visa | Gautham Kolluri",Gautham Kolluri,,90.871,en,8,1341,"More troubling news from the U.S., imagine losing your job and being told you may also need to leave the country immediately. Home rental, mortgages, kids' school, years and decades of your life, all instantly uprooted. That's what could happen to thousands of foreign workers under the new DHS proposal that would eliminate 60-day grace period for H-1B and various other employment-based visa holders. DHS is proposing to eliminate the 60-day grace period for certain workers in H-1B, L-1, O-1, T-1, E-1, E-2, E-3 and H-1B-1 status along with their dependents. If finalized, DHS says a worker whose qualifying employment ends would begin failing to maintain the status the very next day are otherwise authorized to remain in the United States. This is still a proposal and the 60-day grace period still remains, but it's yet another signal from the Trump administration to cut down high-skilled foreign workers in the U.S. Another major F1-J1 rule is set to take effect on Monday. Starting 15th of September, the rule would end the duration of the status for F1 students and J1 exchange visitors and replace it with fixed periods of admission. My name is Gautam Kaluri. I'm a regulated Canadian immigration consultant and founder-director of CIP, Canada's first virtual immigration tech platform. Share this video and follow us for updates.",transcripts/1082728481141518.txt,transcripts/1082728481141518_segments.csv,small.en,2026-09-24T17:16:18,Facebook,2026-09-10,upload_date,False,final_rule,244.0,,
video,https://www.youtube.com/watch?v=bhfTiZPVdgM,bhfTiZPVdgM,End of Duration of Status? DHS’s New Rule Explained,GoElite,,230.0,en,38,3455,"Hi everyone. On September 10th, the US made a move and DHS proposed the rule that could completely change how long F-1 students are allowed to stay in the United States. And now, international students are staring down the biggest challenge they are facing in years. For decades, students have been admitted for what's called duration of status, meaning there's no fixed end date as long as they stay enrolled and in status. That flexibility is why students can finish a bachelor's degree move on to a master's, even pursue a second master's and a PhD, all without a constant fear of their visa expiring. But until this proposal, that freedom goes away. Instead of open-ended status, students would face strict caps for years at most and for many just two years. Imagine starting a two-year master's degree and only being admitted for two years. If you need even one extra semester, you'll have to file an extension with USCIS, pay new fees, go through biometrics, and wait for them to decide if you can stay. Even PhD students, whose research often takes five or six years, would only get four years up front. Then, be forced to apply for more time. The grace period after graduation, which is currently 60 days, would be cut in half to 30. English language programs would be limited to 24 months and depends on F2 visa would be locked into the exact same timeline as the student. This isn't just a matter of paperwork. It adds more uncertainty, more cost, and more reliance on USCIS. Students who want to change majors or transfer mid-programs might need to file with USCIS. Instead of working with this, students will need to plan much earlier and be prepared for interruptions. DHS says this is about security and fighting fraud, but many worry it strips universities of the flexibility they had had, pushes power into an overburdened integration system, and leaves students stuck in limbo. Those in longer programs like PhDs, student needs, extra time, and families on dependent visas are the ones most at risk. If you are an international student, the key right now is to plan ahead, talk to your DSO, know your timeline, and prepare documentation early. September 28th was the last day to submit comments on regulations.gov to push back on the proposal and try to shape it in favor of student. The results are not out yet, but you can still continue with your admission process for a second master's and practical training until January 26th, and just in case the rule passes, again second master's nothing will affect students who are already enrolled. At the end of the day, students still come to the US, but the rule makes studying here harder, more stressful, and much more expensive. International students don't just attend classes, they contribute billions to the economy, create startups, and fewer innovations. Taking that away risks losing talent, growth, and opportunity for everyone. So now the real question, will these changes go through and reshape the future of international education in the US, or will student voice and public pushback post DHS do rethink? Either way, the clock is ticking, and every international student needs to stay alert, stay prepared, and stay ready, because what happens next could decide not just your studies, but your future in America. So for more such details, make sure you follow, drop a comment with your thoughts, and don't forget to subscribe our channel for all the latest updates. Thank you.",transcripts/bhfTiZPVdgM.txt,transcripts/bhfTiZPVdgM_segments.csv,small.en,2026-09-24T18:02:35,Youtube,2025-10-10,manual (URL file),False,between_comments_and_final,375.0,3.0,
video,https://www.youtube.com/watch?v=ONXytyxMyoM,ONXytyxMyoM,US Student Visa Rules Tighten With New 4-Year Limit,Bloomberg Television,,202.0,en,41,3582,"Jill, how much do we know about this new rule? How clear are we? Hey, morning, Haslinda. So at this point, this is actually a fairly significant change. As you just outlined, under the current rules for these F&J visas, I will point out there's about 1.5 million students that are in the United States on these types of visas. They're allowed to stay sort of as long as their studies last. It's very different from other forms of non-immigrant visas in the United States. And so as long as they're enrolled in sort of the minimum number of credits that they need at these universities, they can stay. Under this new rule, though, as you just mentioned, this imposes a four-year limit. Before then, if they need to stay in the United States for longer to continue their studies, they actually have to go and seek more duration of time. They have to seek an extension, provide some biometric data, and basically, it's sort of handled this in a way where previously maybe their universities would have helped coordinate this. But again, this doesn't pose a pretty significant barrier here. So very, very, very different change. It's a different change. Who is it likely to hit the worst? I mean, we know that lots of Chinese and Indian students in the US. Yes, exactly right. So I would expect this to be looking at China, South Korea, India, as you mentioned, those students that are from these nations where there are a lot of them in the United States. I mean, look, Miss India, there's already been a fair amount of tightening going on over visa restrictions for people coming into the United States to study, and in other capacities. We actually saw last year a 1.4% drop in the overall number of foreign students enrolled in universities, including a 17% drop in the number of incoming students. So I mean, you're looking at a pretty significant number there. And that's in addition to various other forms of either visa scrutiny restrictions that are kind of going on here, there's been, you know, some delays in terms of applications. And so all of that is kind of contributing to this environment where you are seeing a pretty significant number, a smaller number of students that are actually coming into the United States to study. And in the end, Jill, you can only imagine that fewer and fewer international students would find the US an attractive place to go to school. Yeah, I mean, this is something that, you know, we've been seeing for a few years now. Obviously, the United States under the Trump administration has taken a much stricter approach to immigration policy. So we are seeing that sort of manifest in various forms, obviously, you know, that sort of extends to a broader approach toward immigration enforcement that the Trump administration is looking at. But yes, I mean, student visas is obviously a significant part of that. So it does raise questions about, you know, sort of the ability of a lot of these, you know, major universities to attract foreign students who are paying quite high tuition fees when they visit. To some fraud investigations as well, right? Yes, that's right. So there is a program, the OTP program, that's one that's, you know, under, you know, sort of investigation for fraud. And so again, does raise the possibility that while you do have these new visa restrictions that are being instituted on those applications right now, does raise that question of whether or not there's going to be further tightening on the types of visas that students earn in programs that students can achieve in the future in the United States.",transcripts/ONXytyxMyoM.txt,transcripts/ONXytyxMyoM_segments.csv,small.en,2026-09-24T18:03:46,Youtube,2026-07-17,manual (URL file),False,final_rule,69795.0,310.0,314
video,https://www.youtube.com/watch?v=8wwO343OOzI,8wwO343OOzI,Immigration Check In 2026- Understanding the DHS Final Rule End of Duration of Status DS,CSULB CIE,,204.0,en,20,2853,"Imagine arriving in the United States as an international student, ready to pursue your educational dreams. On July 17, 2026, the Department of Homeland Security announced a major change, removing duration of status, or D-slash-S, for F-1 and J-1 visa holders. Starting September 15, 2026, instead of being admitted for the length of your program, you'll be admitted for a fixed period of time. This shift brings new responsibilities and important deadlines for your immigration status. Keeping your documents valid has never been more critical. Your Form I-20, I-94 record, and passport must remain up to date throughout your studies. The days of simply having D-slash-S are over. You now need to pay attention to specific dates. First, if you need extra time to complete your degree, request a program extension before your I-20 expires. It's essential to start early. Contact your international student advisor, ideally at least 180 days before your I-20 program end date or your admit until date, to discuss your options or to apply for an extension of stay. Second, regularly monitor your admit until date, which is listed on your I-94 record. This date marks the last day you are permitted to stay in the U.S. Keep a calendar reminder, check your I-94 often, and speak with your advisor well in advance if an extension might be needed. Third, the new rule restricts changing your program of study. Undergraduate students cannot change their major during their first year, unless granted an exception. Graduate students cannot change their major at any point. Changing to another program at either the same or a lower degree level is also prohibited. If you're considering any change in major, degree level, or institution, always consult your international student advisor first. Fourth, there are important changes to the grace period, the designated departure period following program completion. Most F-1 students will now have only 30 days down from 60 to either depart the country, transfer to another school, start a new program, or obtain another status. Confirm your grace period with your advisor to avoid surprises. Fifth, if you receive authorization to withdraw from classes, you typically have 15 days from the withdrawal date to leave the United States. Planning ahead is crucial. Finally, remember to safeguard your immigration status proactively, keep all documents valid, monitor your timelines, and reach out to international student services whenever you have questions or concerns about your I-20, I-94. Admit until date, program extensions, or travel. For in-depth guidance, explore resources at Study in the States and the California State University Long Beach website. By staying informed and in touch with your advisors, you can navigate these changes confidently, ensuring your academic journey remains smooth and secure.",transcripts/8wwO343OOzI.txt,transcripts/8wwO343OOzI_segments.csv,small.en,2026-09-24T18:04:46,Youtube,2026-08-06,manual (URL file),False,final_rule,285.0,1.0,
video,https://www.youtube.com/watch?v=pm9dk_1i4Jc,pm9dk_1i4Jc,New F-1 Visa Rules: What happens to students already in the U.S.?,Law Office of Louis S. Haskell,,418.0,en,68,6351,"The Trump administration has announced new rules for people in the United States on student visas that begin September 15, which is to say after the start of the academic year. So this should mean that all students in the United States for this academic year who have arrived obviously before September 15 should be unaffected by the new rules, right? Wrong. I'm attorney Louis Haskell and I'd like to explain today how the new rules on student visas affect students who are already in the United States. And it goes well beyond the fact that if you leave and come back you're subject to the new rules. The people who are here and do not leave are still subject to the new rules. The basic change that kind of underlines everything that's happening here is that whereas or historically a student receiving a student visa who comes into United States gets to stay for what's called the duration of studies. So if somebody comes here to go into, I don't know, a language program and transfers into a university program and transfers into a graduate program, if they never leave the country, they never need to have any more contact with the federal government over their status. They remain in student status for as long as they remain students. That was the rule. That is no longer the rule. Now, when you come to the United States, the duration of your status is the length of your program or four years, whichever is less. Now, what does that mean to people who are here? Let's say you are a rising senior in a four-year university. The good news is you get four years to complete your bachelor's degree, even though you only need one. So, you know, if it turns out that your four-year program has become a five-year program, no problems for you yet. However, what happens if you want to go to graduate school? That's a different program. So even though you could graduate, go to graduate school, graduate in two or three years and be within the four years, it doesn't work that way. When you graduate, your status ends and you have to petition to extend your student status if you want to go to graduate school. And that takes effect September 15. There is no grace there. I mention the lack of grace because for a subject very dear to my heart, which is optional practical training or the OPT program, and it's dear to my heart because actually higher OPTs, there is some grace. The old rules will remain in effect until March 18 of 2027. So for those of you who are in the last year of your program and think you're going to want to do OPT afterwards, you need to make sure that you get all your paperwork in, all your I's dotted T's crossed, and everything filed before, and I would say as much before as possible, on March 18 as you can. Because after March 18, unless there's another grace period, you're going to need to file for an extension in order to do OPT. Now, you may be thinking OPT is part of your program, and so therefore, if you have four years to complete your program, you should be able to do your one year of school plus your OPT, no problem. But USCIS and the Trump administration do not see it that way. OPT is separate and apart. Now, I foresee a lot of problems here because we're kind of in uncharted territory. As a general rule, nobody has ever needed to extend an F visa before because as long as you're in status, you're a student, you're in student status. But we do know that to extend from or to change from an F to other things, USCIS is reporting now that it's taking them eight to 10 months to do that. USCIS is about to get a rush of visa extensions that they've never seen before for student visas. So I do not anticipate these weights getting shorter, only longer. And so what that means is if you want to go to graduate school, if you want to change your program in any way, you really need to get your paperwork in ASAP because I think in the real world, there are going to be serious problems with USCIS processing these things on time. And what happens if you've applied to a graduate school, you've been accepted to graduate school, but USCIS has not given you permission to go to graduate school. And I think the answer is you can't go to graduate school. We'll see when USCIS is dealing with this problem again in real life, but I do have terrible fears about that. And under the new rule, once you could fall out of status, I mean, once your studies end, you only have 30 days to leave the country and then you are accruing unlawful presence and are completely out of status and thus cannot extend or just do so many other things. And I see that being a problem going forward in the OPT program as well, because the only real reason to require that people extend in order to do OPT is so that USCIS can scrutinize the OPT program, which means that if you don't have a job lined up, I do foresee possibility of extension rejections simply because USCIS cannot form an opinion as to whether or not the optional practical training really is related to your degree. And so, you know, I would urge people who think that they're going to be doing OPT next summer to get the paperwork in timely, but I'd also be urging people to be lining up their OPT jobs sooner than they normally would. And in fact, for next year, for example, assuming that they have to extend, you know, that the new rules apply to them, you know, I'd be telling people to try to line up their OPT positions, not at the end of their academic year, but at the beginning, so they can be part of their application to extend. So as I say, we're in a strange new world and a lot of what's going to happen is still unknown. Again, all we have are posted final rules, which themselves, I'm sure will be subject to court challenge and whatnot. But again, how these rules are really going to work when they meet, you know, real situations. And again, the one that I don't think is well enough thought out is just that these extensions take time. Since that's not well understood yet, we will be monitoring this. We will be following this. I'm sure I'll be posting updates. So please, you know, subscribe to my channel so that you will get those. And in the future, if you have any difficulties, you have any need for assistance, please don't hesitate to contact us at 978-459-8359 and know that if you're here, you have come to the right place.",transcripts/pm9dk_1i4Jc.txt,transcripts/pm9dk_1i4Jc_segments.csv,small.en,2026-09-24T18:07:03,Youtube,2026-08-13,manual (URL file),False,final_rule,165536.0,514.0,245
video,https://www.youtube.com/watch?v=BpgN9dlK3es,BpgN9dlK3es,"F-1/J-1 Visa SHOCK: “Duration of Status” Is ENDING -What Every Student Must Know Before Sep.15, 2026",Visa Guide USA,,432.0,en,87,7933,"If you are on an F-1 or J-1 visa, or you are planning to study or work in the United States, the rule you have relied on for the last 30 years just disappeared. And most students still have no idea what replaces it. Starting September 15th, 2026, the government is no longer going to let you stay in the US simply because you are still in school. You are now going to get a hard, fixed expiration date stamped on your immigration record. And if you miss it, you could be out of status without even realizing it happened. Stick with me for the next few minutes, because I am going to break down exactly what changed, who it affects, what the new expiration date actually means for your OPT, your STEM extension, your grace period, and the one mistake that could get thousands of students sent home this year. This is Visa Guide USA. And if you are new here, this channel exists to translate confusing immigration policy in a plain English before it costs you your status. Let's get into it. For more than three decades, F, one students in J, one exchange visitors were admitted into the United States under something called duration of status, or D slash S for short. If you have ever looked at your eye, 94 record and seen the letters D slash S instead of an actual date, that is what this is. It meant you were authorized to stay in the country for as long as you were enrolled in your program and following the rules, whether that was two years, for years, or even longer with a PhD, no countdown clock, no expiration date staring at you. As long as your school said you were in good standing, you were fine. That entire system just got dismantled. The Department of Homeland Security published a final rule in the Federal Register in the middle of July 2026. And it officially eliminates duration of status for F, J, and I visa holders. That is F one students, J one exchange visitors and scholars, and I visa holders, which covers foreign media representatives, along with all of their dependents. The rule takes effect on September 15th, 2026. And it applies to an enormous number of people. We are talking about roughly 2 million admissions a year in these categories, with more than a million of those being F one academic students alone. So here's what actually changes. Instead of that open ended D slash S notation, you are now going to be admitted for a fixed period tied directly to your program. For F one students, that means you get admitted up to the length of the program listed on your form, I 20, but it cannot exceed four years, even if your actual program runs longer. On top of that program length, you get a grace period for departure. And this is where it gets painful for a lot of people, because your post completion grace period, the cushion you get after you finish your degree to either leave the country, transfer schools, or start something like OPT is being cut from 60 days down to just 30 days for F one students. J one exchange visitors already had a 30 day grace period. And that one is not changing. But everyone is now operating on a much tighter runway than before. Now here's the part that catches people off guard. If you are already in the United States right now under D slash S, you are not immediately thrown into the new system. The second the clock strikes September 15th, there are transition provisions. If you were properly maintaining your status before the effective date, you generally get to remain until the later of two things, either the expiration date on a valid employment authorization document, if you have one or the program in date listed on your current I 20 or DS 2019. But in this is critical, that transition period cannot stretch beyond four years from the effective date, plus whatever departure period applies. So even the most generous version of this transition has a ceiling. But here is the trap that almost nobody is talking about clearly enough. The moment you leave the United States and try to come back in on or after September 15th, 2026, all of that grandfathering disappears. You do not get to keep your old D slash status. You are readmitted under the brand new fixed period rules immediately with the new shorter grace period attached. So if you are a student who was planning a trip home for a wedding, a family emergency, a holiday, anything, the timing of that trip now has real legal consequences. It never had before travel internationally after this date, and you reset into a completely different system. The second you land back on us soil, this also affects people who are already deep into their post-graduation journey. If you are on OPT or a STEM OPT extension right now, or if you are a J one scholar doing academic training, those activities used to be treated as a continuation of your lawful D slash status, no separate extension application needed with USCIS. Under the new fixed period system, that kind of quiet automatic continuation is going away. Your authorization is now going to be locked to specific dates. And if your work authorization runs past your new admit until date, you may need to actively file an extension of stay with USCIS just to stay legal, something that used to happen without you lifting a finger. There is another change buried in here that could affect your academic plans directly. The rule introduces a new concept called educational objectives. And it restricts F one students who have already completed a degree at a certain level from enrolling in another program at that same level or a lower level going forward. If you have finished a degree, your next move generally has to be upward into a higher level program, not sideways or backward. That is a significant shift for anyone who was planning to pick up a second bachelors or a lower level certificate program after finishing their current one. And I want to be clear about something because there is a lot of uncertainty floating around right now. This rule is not fully locked in without a fight. A federal lawsuit has already been filed trying to block it. And as of early September, there was a preliminary injunction hearing in front of a federal judge with no ruling issued yet at the time this rule was scheduled to take effect. It is also subject to congressional review as a major rule. So there is a real possibility that between litigation and legislative review, some part of this could still shift, get delayed, or get modified. That is exactly why you cannot just watch one video and assume you know your status forever. This is a moving target. And you need to be checking your school's international student office and USCIS directly for updates specific to your situation. So what should you actually do right now if you're an F one or J one holder? First log into your SEVIS record and know exactly what your program end date says, because that date just became far more important than it used to be. Second, if you were thinking about international travel anytime soon, understand that returning after September 15 puts you under the new rules immediately. So plan that trip with your eyes open. Third, if you are on OPT, STEM OPT, or academic training, start a conversation with your international student office now about whether you will need to file an extension of stay before your new fixed period runs out. This is not something to figure out after the fact. If this video helped you make sense of what is honestly one of the most confusing visa changes in years, do me a favor and hit subscribe. Because Visa Guide USA is going to be tracking every twist in this lawsuit, every update from USCIS, and every practical deadline you need to know about as this rule actually plays out. Drop a comment and tell me what visa category you are in F one, J one, or something else entirely, because I am building out follow up videos based on exactly what you all are dealing with right now. I will see you in the next one.",transcripts/BpgN9dlK3es.txt,transcripts/BpgN9dlK3es_segments.csv,small.en,2026-09-24T18:09:53,Youtube,2026-09-14,manual (URL file),False,injunction,344.0,,
