docket_id,video_key,video_url,platform,speaker,speaker_type,video_title,published_date,milestone_window,video_duration_sec,view_count,like_count,claim_uid,claim_number,timestamp,timestamp_seconds,video_link_at_time,speaker_quote,claim,claim_type,topic,about,verdict_at_publish,model_suggests_outdated,currency_status,currency_source,confidence,verdict_basis,ai_explanation,evidence_1_version,evidence_1_citation,evidence_1_section,evidence_1_text,evidence_1_link,evidence_2_version,evidence_2_citation,evidence_2_section,evidence_2_text,evidence_2_link,analyst_review_status,analyst_verdict,analyst_outdated,analyst_note,model,checked_at
ICEB-2025-0001,bhfTiZPVdgM,https://www.youtube.com/watch?v=bhfTiZPVdgM,YouTube,GoElite,consultancy,End of Duration of Status? DHS’s New Rule Explained,2025-10-10,between_comments_and_final,230,375,3,a034f15a5a04,1,0:00,0,https://www.youtube.com/watch?v=bhfTiZPVdgM&t=0s,"On September 10th, the US made a move and DHS proposed the rule that could completely change how long F-1 students are allowed to stay in the United States.","On September 10th, the US Department of Homeland Security (DHS) proposed a rule that could completely change how long F-1 students are allowed to stay in the United States.",fact,fixed admission periods,rulemaking_process,Partly supported,False,Still current,AI suggestion,0.9,v1,"The timeline shows the proposed rule was published on 2025-08-28, not on September 10th as the claim states. The passages from the proposed rule (v1) discuss changes to F-1 student status and extensions, indicating a potential significant change in how long F-1 students can stay. The final rule (v2) confirms changes to the admission period from duration of status to a fixed time period, which is a substantial change. However, the claim's date is incorrect, and the claim overstates the exact date of proposal. The claim is addressed because the rule and timeline directly relate to the length of stay for F-1 students, but the date is wrong.",v1,90 FR 42075,i. F Classification,"Finally, in 1991, the regulations were revised to implement Section 221(a) of the Immigration Act of 1990 (IMMACT 90), Public Law 101-649, 104 Stat. 4978, which established a three-year off-campus program for F-1 students, 36 and clarified the procedures for F-1 students seeking EOS and employment authorization utilizing the Form I-20. 37 The rule also gave DSOs the authority to grant program exte",https://www.federalregister.gov/citation/90-FR-42075,v1,90 FR 42077,ii. Risks Within the F Classification,"Apart from concerns about DSOs and school owners involved in fraudulent schemes, DHS also has concerns about the actions of the aliens themselves. Some aliens have used the F classification to reside in the United States for decades by continuously enrolling in or transferring between schools, a practice facilitated by the D/S framework. 64 DHS has identified over 2,100 aliens who first entered as",https://www.federalregister.gov/citation/90-FR-42077,pending,,,,gpt-4.1-mini,2026-09-24T18:37:32
ICEB-2025-0001,bhfTiZPVdgM,https://www.youtube.com/watch?v=bhfTiZPVdgM,YouTube,GoElite,consultancy,End of Duration of Status? DHS’s New Rule Explained,2025-10-10,between_comments_and_final,230,375,3,fab94e9f8781,2,0:18,18,https://www.youtube.com/watch?v=bhfTiZPVdgM&t=18s,"For decades, students have been admitted for what's called duration of status, meaning there's no fixed end date as long as they stay enrolled and in status.","For decades, F-1 students have been admitted under duration of status (D/S), meaning there is no fixed end date as long as they stay enrolled and maintain status.",fact,fixed admission periods,rule_content,Supported,False,Still current,AI suggestion,0.95,v1,"Passages [2] and [5] from both the proposed and final rules explicitly state that from 1973 to 1979, F students were admitted for one year with extensions, but starting January 1, 1979, F-1 students were admitted for duration of status (D/S), meaning no fixed end date as long as they maintain status. This directly confirms the claim that for decades, F-1 students have been admitted under D/S. The timeline shows the source was published after the proposed rule but before the final rule, so the claim is accurate as of the source date based on the proposed rule text. There is no change after the source publication that contradicts the claim, only clarifications about early program completion periods.",v1,90 FR 42074,i. F Classification,"From 1973 to 1979, F students were admitted for one year and could be granted an EOS in increments of up to 12 months if they established that they were maintaining status. 26 However, on July 26, 1978, given the large number of nonimmigrant students in the United States at the time and the need to continually process their EOS applications, legacy INS proposed amending the regulations to permit F",https://www.federalregister.gov/citation/90-FR-42074,,,,,,pending,,,,gpt-4.1-mini,2026-09-24T18:37:32
ICEB-2025-0001,bhfTiZPVdgM,https://www.youtube.com/watch?v=bhfTiZPVdgM,YouTube,GoElite,consultancy,End of Duration of Status? DHS’s New Rule Explained,2025-10-10,between_comments_and_final,230,375,3,497f4d0d9155,3,0:42,42,https://www.youtube.com/watch?v=bhfTiZPVdgM&t=42s,"Instead of open-ended status, students would face strict caps for years at most and for many just two years.","The proposed DHS rule would replace the open-ended duration of status with strict fixed caps on admission periods, often for just two years.",fact,fixed admission periods,rule_content,Partly supported,False,Still current,AI suggestion,0.9,v1,"The proposed rule (v1) explicitly states DHS would replace the open-ended D/S admission with a fixed admission period not to exceed 4 years (passage 1). It also discusses considering shorter fixed periods like 1 or 3 years but rejects them due to burden concerns (passage 2). The claim that many would face just two years is not supported by the proposed rule text, which sets a maximum of 4 years and expects most programs to be completed within that time. The timeline confirms the claim source date is after the proposed rule publication but before the final rule. The final rule (v2) maintains the fixed period approach with a maximum of 4 years and a 30-day grace period (passage 6), not two years. Thus, the claim is addressed and partly accurate at the source date because the proposed rule replaces D/S with fixed caps, but the claim overstates the prevalence of two-year caps, which the text does not support. No later changes make the claim untrue, so ""changed_since"" is false.",v1,90 FR 42086,i. Admission for a Fixed Time Period,"As a preliminary matter, DHS is proposing to strike the existing regulation that allows F nonimmigrants to be admitted for D/S. DHS would replace it with a provision allowing F nonimmigrants to be granted status for the length of their program, not to exceed 4 years. See proposed 8 CFR 214.2(f)(5)(i) and (f)(7)(vi).",https://www.federalregister.gov/citation/90-FR-42086,v1,90 FR 42085,i. F and J Nonimmigrants,"DHS considered several alternatives before determining the above proposal was the best option. First, DHS considered whether to impose a consistent length for the fixed admission for all F and J nonimmigrants transitioning from a D/S admission, such as 1 or 3 years from the final rule's effective date. While this proposal would provide a standard end date, DHS was concerned about the expense and w",https://www.federalregister.gov/citation/90-FR-42085,pending,,,,gpt-4.1-mini,2026-09-24T18:37:32
ICEB-2025-0001,bhfTiZPVdgM,https://www.youtube.com/watch?v=bhfTiZPVdgM,YouTube,GoElite,consultancy,End of Duration of Status? DHS’s New Rule Explained,2025-10-10,between_comments_and_final,230,375,3,4cac3d43536c,4,0:49,49,https://www.youtube.com/watch?v=bhfTiZPVdgM&t=49s,"If you need even one extra semester, you'll have to file an extension with USCIS, pay new fees, go through biometrics, and wait for them to decide if you can stay.","Under the new rule, if a student needs even one extra semester beyond their fixed admission period, they must file an extension with USCIS, pay new fees, undergo biometrics, and wait for approval.",fact,extension-of-stay procedures,rule_content,Supported,False,Still current,AI suggestion,0.95,v1,"Both the proposed (v1) and final (v2) rules explicitly state that if an F-1 student needs more time beyond their authorized period of stay (e.g., an extra semester), they must apply to USCIS for an extension of stay using the designated form, pay the required fee, submit a properly endorsed Form I-20, and comply with biometrics requirements. This confirms the claim that even one extra semester requires filing an extension, paying fees, undergoing biometrics, and waiting for approval. The source was published after the proposed rule but before the final rule, so the claim is accurate as of the source's publish date based on the proposed rule. No timeline event or final rule text after the source's date contradicts or changes this requirement, so the claim remains true after publication.",v1,90 FR 42111,Regulatory text Â§â214.2,"(iv) Extension of Stay. If the new program to which the student transferred will not be completed within the authorized period of stay established in paragraph (f)(5)(i) of this section, the F-1 student must apply to USCIS for an extension of stay in the manner and using the form designated by USCIS, with the required fee and in accordance with form instructions, including any biometrics required ",https://www.federalregister.gov/citation/90-FR-42111,v1,90 FR 42091,v. New Process for EOS Application,"Apart from pursuing a new course of study, DHS appreciates that the time for study can legitimately fluctuate given the changing goals and actions of the student. For example, a student may experience compelling academic or medical reasons or circumstances beyond their control that cause them to need additional time in the United States beyond the predetermined end date of the program in which the",https://www.federalregister.gov/citation/90-FR-42091,pending,,,,gpt-4.1-mini,2026-09-24T18:37:32
ICEB-2025-0001,bhfTiZPVdgM,https://www.youtube.com/watch?v=bhfTiZPVdgM,YouTube,GoElite,consultancy,End of Duration of Status? DHS’s New Rule Explained,2025-10-10,between_comments_and_final,230,375,3,288aca2325e2,5,1:01,61,https://www.youtube.com/watch?v=bhfTiZPVdgM&t=61s,"Even PhD students, whose research often takes five or six years, would only get four years up front. Then, be forced to apply for more time.","PhD students, whose research often takes five or six years, would only be admitted for four years initially and then forced to apply for more time under the new rule.",fact,fixed admission periods,rule_content,Supported,False,Still current,AI suggestion,0.95,both,"The proposed rule (v1) sets a maximum 4-year admission period for many students, including those in degree programs, requiring extensions for longer studies. The final rule (v2) acknowledges commenters' concerns that many doctoral programs, especially STEM PhDs, commonly exceed four years, often taking five to six years, and that the fixed 4-year admission period would force students to apply for extensions. Thus, the claim that PhD students would only get four years initially and then have to apply for more time is directly supported by both the proposed and final rule passages.",v1,90 FR 42082,A. General Period of Admission for F and J Nonimmigrants,"Although some F and J nonimmigrants may have program end dates longer than 4 years, DHS believes that using the program end date on the Form I-20 or DS-2019, up to a maximum 4-year period of admission, as the fixed date of admission is the best option because it aligns with the general structure of post-secondary education while still allowing for the government to have increased oversight of this",https://www.federalregister.gov/citation/90-FR-42082,v2,91 FR 45001,b. Impact on Academic Programs and Research and STEM,"Comments: Many commenters raised concerns regarding the impact on educational and research programs due to the rule's provisions on fixed admission period and EOS requirements. Specifically, multiple commenters raised concerns that programs lasting longer than the four years, including many doctorate degrees, are in jeopardy due to the 4-year fixed admission period provided in the rule. Commenters",https://www.federalregister.gov/citation/91-FR-45001,pending,,,,gpt-4.1-mini,2026-09-24T18:37:32
ICEB-2025-0001,bhfTiZPVdgM,https://www.youtube.com/watch?v=bhfTiZPVdgM,YouTube,GoElite,consultancy,End of Duration of Status? DHS’s New Rule Explained,2025-10-10,between_comments_and_final,230,375,3,e809ec2b58b3,6,1:13,73,https://www.youtube.com/watch?v=bhfTiZPVdgM&t=73s,"The grace period after graduation, which is currently 60 days, would be cut in half to 30.",The grace period after graduation for F-1 students would be cut from 60 days to 30 days under the proposed rule.,fact,F-1 departure period,rule_content,Supported,False,Still current,AI suggestion,0.95,both,"The proposed rule (v1) explicitly states that the F-1 grace period after graduation would be decreased from 60 days to 30 days (passages 1, 2, and 3). The timeline confirms the proposed rule was published on 2025-08-28, before the source publication date of 2025-10-10, so the claim is accurate as of that date. The final rule (v2) confirms the change to 30 days was retained and discusses opposition to it but does not reverse it (passages 4 and 5). Therefore, the claim is addressed, accurate at the source publish date, and not changed since then.",v1,90 FR 42073,B. Summary of the Proposed Regulatory Provisions,â Decreasing from 60 to 30 days the allowed period for F-1 nonimmigrants to prepare to depart from the United States after completion of a course of study or authorized period of post-completion practical training;,https://www.federalregister.gov/citation/90-FR-42073,v1,90 FR 42109,Regulatory text Â§â214.2,"(v) Period of preparation for departure or to otherwise maintain lawful status in the United States. An F-1 student who has completed a course of study and any authorized practical training will be allowed an additional 30-day period from the program end date or the 4 year maximum period of admission, or the end date of the approved employment authorization for post-completion OPT or STEM OPT, as ",https://www.federalregister.gov/citation/90-FR-42109,pending,,,,gpt-4.1-mini,2026-09-24T18:37:32
ICEB-2025-0001,bhfTiZPVdgM,https://www.youtube.com/watch?v=bhfTiZPVdgM,YouTube,GoElite,consultancy,End of Duration of Status? DHS’s New Rule Explained,2025-10-10,between_comments_and_final,230,375,3,813cbeeb9d29,7,1:19,79,https://www.youtube.com/watch?v=bhfTiZPVdgM&t=79s,English language programs would be limited to 24 months,English language programs would be limited to 24 months of admission under the new DHS rule.,fact,fixed admission periods,rule_content,Supported,False,Still current,AI suggestion,0.95,v1,"Both the proposed rule (v1) and the final rule (v2) explicitly state that F-1 students in English language training (ELT) programs are limited to a maximum of 24 months of admission, plus a 30-day grace period. The timeline shows the source was published after the proposed rule but before the final rule, so the claim aligns with the proposed rule's text. The final rule confirms the 24-month limit and rejects extending it to three years, reinforcing the claim. There is no indication that the claim is incorrect as of the source's publish date, nor that it changed afterward, except that the final rule was postponed by a court but the 24-month limit remains the rule's position.",v1,90 FR 42109,Regulatory text Â§â214.2,"(A) F-1 students whose course of study is in an English language training program are restricted to a maximum of 24 months admission period, plus an additional 30-day period of stay for the purposes of departure or to otherwise seek to maintain lawful status.",https://www.federalregister.gov/citation/90-FR-42109,v1,90 FR 42087,i. Admission for a Fixed Time Period,"Fifth, F-1 students in a language training program would be restricted to an aggregate of 24 months of language study, which would include breaks and an annual vacation. See proposed 8 CFR 214.2(f)(5)(i)(A). DHS is proposing this limitation as a way to prevent abuse of the F-1 program. Public Law 111-306, enacted on December 14, 2010, and effective since 2011, requires language training schools en",https://www.federalregister.gov/citation/90-FR-42087,pending,,,,gpt-4.1-mini,2026-09-24T18:37:32
ICEB-2025-0001,bhfTiZPVdgM,https://www.youtube.com/watch?v=bhfTiZPVdgM,YouTube,GoElite,consultancy,End of Duration of Status? DHS’s New Rule Explained,2025-10-10,between_comments_and_final,230,375,3,527105fecee7,8,1:27,87,https://www.youtube.com/watch?v=bhfTiZPVdgM&t=87s,depends on F2 visa would be locked into the exact same timeline as the student.,Dependents on F-2 visas would be locked into the exact same timeline as the F-1 student under the new rule.,fact,fixed admission periods,rule_content,Partly supported,True,Outdated,AI suggestion,0.9,both,"The claim states that F-2 dependents would be locked into the exact same timeline as the F-1 student under the new rule. Passage [5] from the final rule explicitly confirms this by stating that the authorized period of stay for F-2 dependents may not exceed that of the principal F-1 student, and dependents must file for extension of stay when the principal does, cannot stay longer, and must depart if the principal's stay is shortened. Passage [6] reiterates this requirement. The proposed rule passage [2] discusses extension applications for dependents but does not explicitly state the timeline locking. The timeline shows the source was published after the proposed rule but before the final rule, so only the proposed rule was public at that time, which does not explicitly confirm the claim. Therefore, the claim is only partly accurate at the source publish date but fully addressed and confirmed by the final rule text and timeline events after that date.",v1,90 FR 42110,Regulatory text Â§â214.2,"(iv) Dependents. An F-2 spouse and unmarried children under the age of 21 seeking to accompany the principal F- 1 student during the additional period of admission must either be included on the principal F-1 student's application for an extension of stay or file their own extension of stay application on the form designated by USCIS. The application must be submitted using the form, and in the ma",https://www.federalregister.gov/citation/90-FR-42110,v2,91 FR 45016,3. Dependent Admission Periods,"Response: The current regulation requiring the spouse and minor children of an F-1 student to individually present a Form I-20 or successor form, whether accompanying or following-to-join the F-1 student has not been impacted by this rule. DHS notes that under new 8 CFR 214.2(f)(5)(i)(E), the authorized period of stay for F-2 dependents may not exceed the authorized period of stay of the principal",https://www.federalregister.gov/citation/91-FR-45016,pending,,,,gpt-4.1-mini,2026-09-24T18:37:32
ICEB-2025-0001,bhfTiZPVdgM,https://www.youtube.com/watch?v=bhfTiZPVdgM,YouTube,GoElite,consultancy,End of Duration of Status? DHS’s New Rule Explained,2025-10-10,between_comments_and_final,230,375,3,ae0af2a95671,9,1:34,94,https://www.youtube.com/watch?v=bhfTiZPVdgM&t=94s,"This isn't just a matter of paperwork. It adds more uncertainty, more cost, and more reliance on USCIS.","The new rule adds more uncertainty, cost, and reliance on USCIS for international students.",opinion,other,rule_content,Not checked,False,,,,,"opinion, not a factual claim",,,,,,,,,,,pending,,,,gpt-4.1-mini,2026-09-24T18:37:32
ICEB-2025-0001,bhfTiZPVdgM,https://www.youtube.com/watch?v=bhfTiZPVdgM,YouTube,GoElite,consultancy,End of Duration of Status? DHS’s New Rule Explained,2025-10-10,between_comments_and_final,230,375,3,62a9dcd21f4b,10,1:42,102,https://www.youtube.com/watch?v=bhfTiZPVdgM&t=102s,Students who want to change majors or transfer mid-programs might need to file with USCIS.,Students who want to change majors or transfer mid-program might need to file with USCIS under the new rule.,fact,graduate transfers/program changes,rule_content,Supported,False,Still current,AI suggestion,0.95,v1,"Both the proposed (v1) and final (v2) rules explicitly address the requirement for F-1 students who change educational objectives or transfer mid-program to apply for an Extension of Stay (EOS) with USCIS, including submitting forms, fees, and biometrics. The proposed rule (passages 1 and 3) states that if the new program extends beyond the authorized admission period or involves a change in educational objectives after the first academic year, the student must file with USCIS. The final rule (passage 6) reiterates this requirement. Passage 4 clarifies some flexibility for undergraduate students during their first year but confirms that transfers or major changes after the first year require USCIS involvement. The timeline shows the source was published after the proposed rule but before the final rule, so the claim aligns with the proposed rule's requirements at that time. No later timeline event or final rule text contradicts or removes this requirement, so the claim remains accurate and addressed by the rule text.",v1,90 FR 42095,vii. School Transfers and Changes in Educational Objectives,"Next, if the new program to which the student changes or transfers will not be completed within the authorized admission period established in paragraphs (f)(5)(i) of 8 CFR 214.2, then, consistent with the other provisions throughout this proposed rule, the F-1 student would need to apply for EOS in the manner and on the form designated by USCIS, with the required fee and in accordance with form i",https://www.federalregister.gov/citation/90-FR-42095,v1,90 FR 42088,ii. Changes in Educational Objectives,"If an F-1 student who has completed their first academic year of a program of study seeks to change educational objectives and this change would require an EOS, the alien would then apply for EOS using the form designated by USCIS, paying the required fee and following all form instructions, including submitting any biometrics required by 8 CFR 103.16. See proposed 8 CFR 214.2(f)(5)(ii)(D).",https://www.federalregister.gov/citation/90-FR-42088,pending,,,,gpt-4.1-mini,2026-09-24T18:37:32
